Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1995,49,JAX,NFL,16,4,12,0,.250,-8.1,-4.4,-3.7,,,,,5,,,
1996,50,JAX,NFL,16,9,7,0,.563,-1.5,-1.6,0.1,3,2,1,.667,2,,,
1997,51,JAX,NFL,16,11,5,0,.688,5.5,4.4,1.0,1,0,1,.000,2,,,
1998,52,JAX,NFL,16,11,5,0,.688,2.5,3.1,-0.6,2,1,1,.500,1,,,
1999,53,JAX,NFL,16,14,2,0,.875,6.4,1.3,5.1,2,1,1,.500,1,2,1,
2000,54,JAX,NFL,16,7,9,0,.438,1.1,3.2,-2.1,,,,,4,7,6,
2001,55,JAX,NFL,16,6,10,0,.375,0.9,-1.1,2.0,,,,,5,5,1,
2002,56,JAX,NFL,16,6,10,0,.375,-0.2,-1.3,1.1,,,,,3,2,1,
2004,58,NYG,NFL,16,6,10,0,.375,-3.9,-2.3,-1.6,,,,,2,9,4,
2005,59,NYG,NFL,16,11,5,0,.688,7.5,5.8,1.7,1,0,1,.000,1,9,2,
2006,60,NYG,NFL,16,8,8,0,.500,0.1,1.2,-1.1,1,0,1,.000,3,12,6,
2007,61,NYG,NFL,16,10,6,0,.625,3.3,2.8,0.4,4,4,0,1.000,2,10,4,Super Bowl Champions
2008,62,NYG,NFL,16,12,4,0,.750,8.4,5.5,2.8,1,0,1,.000,1,9,6,
2009,63,NYG,NFL,16,8,8,0,.500,0.1,4.6,-4.5,,,,,3,5,2,
2010,64,NYG,NFL,16,10,6,0,.625,2.1,1.7,0.4,,,,,2,12,7,
2011,65,NYG,NFL,16,9,7,0,.563,1.6,3.1,-1.5,4,4,0,1.000,1,12,4,Super Bowl Champions
2012,66,NYG,NFL,16,9,7,0,.563,6.2,4.0,2.2,,,,,2,3,1,
2013,67,NYG,NFL,16,7,9,0,.438,-5.4,-6.2,0.8,,,,,3,5,4,
2014,68,NYG,NFL,16,6,10,0,.375,-1.7,0.8,-2.5,,,,,3,4,2,
2015,69,NYG,NFL,16,6,10,0,.375,-3.6,2.5,-6.1,,,,,3,4,1,
