Year,Age,Level,Employer,Role
1969,23,College,Syracuse,Graduate Assistant
1970,24,College,Rochester Institute of Technology,Head Coach
1971,25,College,Rochester Institute of Technology,Head Coach
1972,26,College,Rochester Institute of Technology,Head Coach
1973,27,College,Rochester Institute of Technology,Head Coach
1974,28,College,Syracuse,Quarterbacks/Offensive Backfield
1975,29,College,Syracuse,Quarterbacks/Offensive Backfield
1976,30,College,Syracuse,Quarterbacks/Offensive Backfield
1977,31,College,Syracuse,Offensive Coordinator
1978,32,College,Syracuse,Offensive Coordinator
1979,33,College,Syracuse,Offensive Coordinator
1980,34,College,Syracuse,Offensive Coordinator
1981,35,College,Boston College,Quarterbacks
1982,36,College,Boston College,Quarterbacks
1983,37,College,Boston College,Quarterbacks
1984,38,NFL,Philadelphia Eagles,Wide Receivers
1985,39,NFL,Philadelphia Eagles,Wide Receivers
1986,40,NFL,Green Bay Packers,Wide Receivers
1987,41,NFL,Green Bay Packers,Wide Receivers
1988,42,NFL,New York Giants,Wide Receivers
1989,43,NFL,New York Giants,Wide Receivers
1990,44,NFL,New York Giants,Wide Receivers
1991,45,College,Boston College,Head Coach
1992,46,College,Boston College,Head Coach
1993,47,College,Boston College,Head Coach
1995,49,NFL,Jacksonville Jaguars,Head Coach
1996,50,NFL,Jacksonville Jaguars,Head Coach
1997,51,NFL,Jacksonville Jaguars,Head Coach
1998,52,NFL,Jacksonville Jaguars,Head Coach
1999,53,NFL,Jacksonville Jaguars,Head Coach
2000,54,NFL,Jacksonville Jaguars,Head Coach
2001,55,NFL,Jacksonville Jaguars,Head Coach
2002,56,NFL,Jacksonville Jaguars,Head Coach
2004,58,NFL,New York Giants,Head Coach
2005,59,NFL,New York Giants,Head Coach
2006,60,NFL,New York Giants,Head Coach
2007,61,NFL,New York Giants,Head Coach
2008,62,NFL,New York Giants,Head Coach
2009,63,NFL,New York Giants,Head Coach
2010,64,NFL,New York Giants,Head Coach
2011,65,NFL,New York Giants,Head Coach
2012,66,NFL,New York Giants,Head Coach
2013,67,NFL,New York Giants,Head Coach
2014,68,NFL,New York Giants,Head Coach
2015,69,NFL,New York Giants,Head Coach
