,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1995,JAX,HC,30,28,21,28,28,28,27,10,20,17,23,9,13,27,27,20,11,26,21,28,26,29,24,26,17,23,5,17,25,25,27
1,1996,JAX,HC,30,10,19,16,6,2,14,14,21,17,14,15,6,9,1,17,20,1,15,19,20,17,19,8,21,7,8,16,21,23,20
2,1997,JAX,HC,30,5,6,6,9,7,3,2,11,18,2,18,9,21,4,14,1,1,23,15,13,17,13,12,11,7,18,24,22,18,22
3,1998,JAX,HC,30,6,5,11,20,10,8,3,9,5,3,4,7,27,20,10,3,9,25,17,13,14,22,8,26,5,28,23,17,21,17
4,1999,JAX,HC,31,1,4,2,3,7,6,1,3,2,2,11,2,17,12,26,1,9,4,1,17,3,7,2,14,18,10,3,6,12,4
5,2000,JAX,HC,31,19,15,13,7,7,8,15,11,10,5,12,20,15,9,9,9,11,12,16,14,17,11,20,8,3,1,14,17,25,23
6,2001,JAX,HC,31,22,18,14,20,20,21,9,29,26,14,9,16,14,18,12,7,22,16,10,25,21,10,22,2,14,22,22,2,28,16
7,2002,JAX,HC,32,25,5,18,24,25,21,1,12,10,7,5,2,30,28,24,1,24,20,9,18,26,25,11,19,12,9,14,9,22,19
8,2004,NYG,HC,32,21,14,22,24,23,22,10,21,11,4,5,14,23,26,31,8,26,13,17,17,28,28,17,20,7,4,8,24,22,13
9,2005,NYG,HC,32,5,4,6,8,4,3,12,11,6,8,3,3,9,11,8,22,13,24,14,3,11,12,15,12,1,31,27,17,10,15
10,2006,NYG,HC,32,13,17,16,19,14,11,18,16,7,11,6,10,14,19,8,19,23,25,24,15,18,14,29,13,17,30,28,16,13,19
11,2007,NYG,HC,32,7,26,13,11,16,14,23,8,4,7,4,23,17,21,14,23,22,7,17,22,10,8,17,9,18,9,11,20,20,10
12,2008,NYG,HC,32,2,4,3,4,7,3,1,7,1,8,1,1,21,18,8,4,14,5,5,20,3,9,15,12,30,12,8,7,9,7
13,2009,NYG,HC,32,16,24,19,10,8,8,22,13,17,15,20,31,17,11,7,12,9,13,30,22,13,14,30,14,15,6,15,30,22,21
14,2010,NYG,HC,32,8,18,11,3,5,7,32,7,6,6,7,31,17,10,4,31,4,7,17,1,5,8,12,13,1,19,10,19,14,6
15,2011,NYG,HC,32,10,7,19,12,8,9,16,22,32,6,32,10,6,5,6,19,4,27,25,5,16,19,23,23,7,24,29,25,6,20
16,2012,NYG,HC,32,14,4,8,24,14,6,9,23,14,5,7,5,21,12,11,15,9,31,12,3,22,25,6,28,4,8,28,19,3,29
17,2013,NYG,HC,32,20,31,23,22,28,28,32,27,29,21,30,29,19,19,27,32,19,8,18,10,24,14,15,6,5,25,10,7,12,8
18,2014,NYG,HC,32,23,19,19,20,10,13,25,10,23,12,30,29,9,7,9,15,9,29,22,10,19,30,24,32,18,3,18,15,11,24
19,2015,NYG,HC,32,22,5,16,29,8,6,13,19,18,29,18,2,6,7,1,19,11,32,30,6,22,24,26,24,4,29,32,25,10,29
