Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1936,41,PHI,NFL,12,1,11,0,.083,-13.8,-7.7,-6.1,,,,,5,
1937,42,PHI,NFL,11,2,8,1,.200,-9.8,-5.7,-4.0,,,,,5,
1938,43,PHI,NFL,11,5,6,0,.455,-1.6,1.2,-2.7,,,,,4,
1939,44,PHI,NFL,11,1,9,1,.100,-7.6,-5.6,-2.0,,,,,4,
1940,45,PHI,NFL,11,1,10,0,.091,-8.6,-4.0,-4.6,,,,,5,
1941,46,PIT,NFL,2,0,2,0,.000,-14.4,-6.5,-7.9,,,,,5,
