Year,Age,Level,Employer,Role
1957,26,College,Tulsa,Assistant Coach
1958,27,College,Tulsa,Assistant Coach
1959,28,College,Tulsa,Assistant Coach
1960,29,College,Tulsa,Assistant Coach
1961,30,CFL,Calgary Stampeders,Assistant Coach
1962,31,CFL,Calgary Stampeders,Assistant Coach
1963,32,CFL,Calgary Stampeders,Assistant Coach
1964,33,College,Brigham Young,Head Coach
1965,34,College,Brigham Young,Head Coach
1966,35,College,Brigham Young,Head Coach
1967,36,College,Brigham Young,Head Coach
1968,37,College,Brigham Young,Head Coach
1969,38,College,Brigham Young,Head Coach
1970,39,College,Brigham Young,Head Coach
1971,40,College,Brigham Young,Head Coach
1972,41,College,UTEP,Head Coach
1973,42,College,UTEP,Head Coach
1974,43,WFL,Chicago Fire,Backfield Coach
1976,45,NFL,Detroit Lions,Head Coach
1977,46,NFL,Detroit Lions,Head Coach
1981,50,CFL,Toronto Argonauts,Head Coach
