Year,Age,Level,Employer,Role
1975,23,NFL,Baltimore Colts,Special Assistant
1976,24,NFL,Detroit Lions,Asst. Special Teams
1977,25,NFL,Detroit Lions,Receivers
1978,26,NFL,Denver Broncos,Defensive Assistant/Asst. Special Teams
1979,27,NFL,New York Giants,Defensive Assistant/Special Teams
1980,28,NFL,New York Giants,Linebackers/Special Teams
1981,29,NFL,New York Giants,Linebackers/Special Teams
1982,30,NFL,New York Giants,Linebackers/Special Teams
1983,31,NFL,New York Giants,Linebackers/Special Teams
1984,32,NFL,New York Giants,Linebackers/Special Teams
1985,33,NFL,New York Giants,Defensive Coordinator
1986,34,NFL,New York Giants,Defensive Coordinator
1987,35,NFL,New York Giants,Defensive Coordinator
1988,36,NFL,New York Giants,Defensive Coordinator
1989,37,NFL,New York Giants,Defensive Coordinator
1990,38,NFL,New York Giants,Defensive Coordinator
1991,39,NFL,Cleveland Browns,Head Coach
1992,40,NFL,Cleveland Browns,Head Coach
1993,41,NFL,Cleveland Browns,Head Coach
1994,42,NFL,Cleveland Browns,Head Coach
1995,43,NFL,Cleveland Browns,Head Coach
1996,44,NFL,New England Patriots,Asst. Head Coach/Defensive Backs
1997,45,NFL,New York Jets,Asst. Head Coach/Defensive Coordinator
1998,46,NFL,New York Jets,Asst. Head Coach/Defensive Coordinator
1999,47,NFL,New York Jets,Asst. Head Coach/Defensive Coordinator
2000,48,NFL,New England Patriots,Head Coach
2001,49,NFL,New England Patriots,Head Coach
2002,50,NFL,New England Patriots,Head Coach
2003,51,NFL,New England Patriots,Head Coach
2004,52,NFL,New England Patriots,Head Coach
2005,53,NFL,New England Patriots,Head Coach
2006,54,NFL,New England Patriots,Head Coach
2007,55,NFL,New England Patriots,Head Coach
2008,56,NFL,New England Patriots,Head Coach
2009,57,NFL,New England Patriots,Head Coach
2010,58,NFL,New England Patriots,Head Coach
2011,59,NFL,New England Patriots,Head Coach
2012,60,NFL,New England Patriots,Head Coach
2013,61,NFL,New England Patriots,Head Coach
2014,62,NFL,New England Patriots,Head Coach
2015,63,NFL,New England Patriots,Head Coach
2016,64,NFL,New England Patriots,Head Coach
2017,65,NFL,New England Patriots,Head Coach
2018,66,NFL,New England Patriots,Head Coach
2019,67,NFL,New England Patriots,Head Coach
2020,68,NFL,New England Patriots,Head Coach
2021,69,NFL,New England Patriots,Head Coach
2022,70,NFL,New England Patriots,Head Coach
2023,71,NFL,New England Patriots,Head Coach
2025,73,College (FBS),North Carolina,Head Coach
