,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1985,NYG,DC,28,8,14,4,2,5,6,15,2,4,2,11,14,20,10,11,8,7,2,5,14,2,2,3,3,23,21,4,12,6,1
1,1986,NYG,DC,28,1,6,2,5,10,8,9,5,6,7,11,2,22,17,9,17,12,2,2,4,1,1,4,6,2,26,19,3,7,4
2,1987,NYG,DC,28,19,23,18,12,18,22,24,22,24,28,27,23,13,10,6,21,16,7,13,15,20,13,14,6,16,25,10,5,12,4
3,1988,NYG,DC,28,5,7,9,16,20,8,3,14,23,12,27,10,11,14,8,2,20,11,9,16,9,10,3,10,5,26,18,20,23,5
4,1989,NYG,DC,28,2,9,4,11,20,12,5,2,15,6,26,10,25,20,18,6,11,5,2,11,5,4,7,5,13,8,7,6,8,11
5,1990,NYG,DC,28,2,2,2,6,17,15,1,2,8,7,24,2,27,22,17,1,7,2,1,8,5,4,6,7,20,17,6,2,4,3
6,1991,CLE,HC,28,20,3,16,19,19,16,1,22,24,15,23,1,12,9,10,2,13,18,14,11,15,21,15,22,7,19,15,19,18,10
7,1992,CLE,HC,28,16,10,13,15,18,20,7,12,19,23,26,8,28,17,12,10,5,14,10,12,11,7,2,5,2,17,19,24,26,16
8,1993,CLE,HC,28,18,25,16,17,20,15,25,20,17,21,12,21,23,19,5,18,12,12,17,24,14,12,10,8,25,20,13,16,19,6
9,1994,CLE,HC,28,4,20,3,13,16,11,23,13,14,11,16,19,19,19,13,24,12,7,1,13,21,13,5,11,11,25,7,2,10,3
10,1995,CLE,HC,30,26,25,24,24,21,25,17,22,22,27,20,5,15,14,15,20,15,24,20,26,23,20,20,9,28,20,24,15,12,23
11,1997,NYJ,DC,30,10,12,9,26,22,12,7,20,25,20,28,15,8,16,14,3,23,24,6,22,19,21,4,18,28,26,19,18,8,18
12,1998,NYJ,DC,30,4,10,5,5,4,5,8,5,13,12,21,13,14,4,3,5,6,7,2,13,7,14,11,21,19,22,9,2,4,2
13,1999,NYJ,DC,31,12,3,17,27,25,19,2,8,11,27,12,1,29,28,11,11,23,21,9,8,15,17,25,20,18,23,24,3,6,24
14,2000,NWE,HC,31,24,18,23,24,22,25,7,18,26,24,28,6,11,19,19,9,23,20,17,24,26,21,12,6,13,19,21,17,28,21
15,2001,NWE,HC,31,6,9,7,25,19,6,13,8,13,7,24,16,24,22,11,11,15,24,6,8,13,19,4,21,9,23,24,6,6,19
16,2002,NWE,HC,32,11,10,14,20,21,10,7,28,28,26,27,10,4,12,2,9,22,23,17,14,21,31,23,29,17,12,11,18,12,10
17,2003,NWE,HC,32,1,2,6,14,17,12,7,12,27,24,30,13,6,9,11,6,13,7,1,2,4,4,6,6,13,32,15,1,1,2
18,2004,NWE,HC,32,2,8,1,4,7,4,14,5,7,8,18,23,22,11,5,11,7,9,2,3,5,6,8,11,3,26,17,7,7,10
19,2005,NWE,HC,32,11,20,13,14,7,10,10,18,24,11,30,5,7,2,3,14,4,26,17,31,15,8,11,6,30,20,31,28,26,30
20,2006,NWE,HC,32,4,4,4,8,11,7,16,6,12,4,18,25,12,12,7,6,12,6,2,4,4,5,9,10,10,19,12,1,4,12
21,2007,NWE,HC,32,1,3,1,1,1,1,1,9,13,5,14,3,5,1,1,3,1,4,4,9,1,10,3,26,13,12,6,18,6,5
22,2008,NWE,HC,32,6,15,6,6,5,8,8,4,6,4,7,13,12,12,13,5,13,10,8,20,11,15,4,15,20,7,11,31,15,21
23,2009,NWE,HC,32,8,8,4,3,3,6,5,10,12,6,21,7,5,3,7,7,6,11,5,12,6,13,3,23,17,12,12,20,11,19
24,2010,NWE,HC,32,1,1,1,19,8,1,1,10,9,2,10,1,20,11,1,1,2,25,8,2,12,11,10,16,7,31,30,21,1,23
25,2011,NWE,HC,32,2,3,3,10,2,3,3,17,20,3,24,1,3,2,4,5,2,31,15,3,9,17,19,24,7,29,31,22,2,29
26,2012,NWE,HC,32,3,1,1,5,1,1,2,2,7,1,17,8,4,4,4,4,6,25,9,2,11,9,8,6,1,26,29,21,5,27
27,2013,NWE,HC,32,3,8,8,13,7,3,8,9,9,2,9,9,7,10,13,7,15,26,10,10,29,30,11,24,5,23,18,14,12,11
28,2014,NWE,HC,32,1,2,1,10,11,4,1,13,18,12,22,2,7,9,5,4,17,13,8,14,12,9,2,9,18,24,17,12,12,16
29,2015,NWE,HC,32,3,5,3,8,6,3,1,25,30,11,29,2,5,5,1,1,7,9,10,22,10,9,6,11,16,21,17,11,20,8
30,2016,NWE,HC,32,1,3,1,2,4,3,1,3,7,5,25,13,23,4,6,1,3,8,1,14,3,3,1,8,9,26,12,8,15,6
31,2017,NWE,HC,32,1,11,1,9,1,2,2,11,10,6,12,2,7,2,3,2,5,29,5,25,5,20,2,31,23,30,30,18,18,20
32,2018,NWE,HC,32,6,5,5,8,5,4,7,3,5,4,20,8,11,8,11,10,6,21,7,5,6,11,2,29,12,28,22,19,3,9
33,2019,NWE,HC,32,5,1,2,4,15,7,3,9,18,10,25,2,5,8,16,11,18,1,1,2,5,6,1,14,7,8,2,1,1,2
34,2020,NWE,HC,32,17,13,19,22,27,27,14,3,4,6,8,2,31,30,31,23,23,15,7,10,26,26,18,20,32,1,8,5,1,23
