,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1954,47,Baltimore Colts,NFL,12,3,9,0,.250,-8.3,-10.4,2.1,,,,,6,
1,1955,48,Baltimore Colts,NFL,12,5,6,1,.455,-4.6,-4.7,0.2,,,,,4,
2,1956,49,Baltimore Colts,NFL,12,5,7,0,.417,-3.0,2.0,-5.0,,,,,4,
3,1957,50,Baltimore Colts,NFL,12,7,5,0,.583,5.3,5.1,0.1,,,,,3,
4,1958,51,Baltimore Colts,NFL,12,9,3,0,.750,14.1,9.0,5.1,1,1,0,1.000,1,NFL Champions
5,1959,52,Baltimore Colts,NFL,12,9,3,0,.750,10.0,10.6,-0.6,1,1,0,1.000,1,NFL Champions
6,1960,53,Baltimore Colts,NFL,12,6,6,0,.500,2.1,2.0,0.1,,,,,4,
7,1961,54,Baltimore Colts,NFL,14,8,6,0,.571,1.1,0.9,0.3,,,,,3,
8,1962,55,Baltimore Colts,NFL,14,7,7,0,.500,3.6,1.2,2.4,,,,,4,
9,1963,56,New York Jets,AFL,14,5,8,1,.385,-9.4,-4.7,-4.7,,,,,4,
10,1964,57,New York Jets,AFL,14,5,8,1,.385,-2.3,-3.6,1.3,,,,,3,
11,1965,58,New York Jets,AFL,14,5,8,1,.385,-1.1,-1.1,0.0,,,,,2,
12,1966,59,New York Jets,AFL,14,6,6,2,.500,0.7,0.7,0.0,,,,,3,
13,1967,60,New York Jets,AFL,14,8,5,1,.615,2.4,3.6,-1.2,,,,,2,
14,1968,61,New York Jets,AFL,14,11,3,0,.786,7.9,7.0,0.8,2,2,0,1.000,1,Super Bowl Champions
15,1969,62,New York Jets,AFL,14,10,4,0,.714,4.0,3.2,0.8,1,0,1,.000,1,
16,1970,63,New York Jets,NFL,14,4,10,0,.286,-4.9,-2.2,-2.7,,,,,3,
17,1971,64,New York Jets,NFL,14,6,8,0,.429,-5.4,-3.7,-1.6,,,,,4,
18,1972,65,New York Jets,NFL,14,7,7,0,.500,0.5,4.7,-4.2,,,,,2,
19,1973,66,New York Jets,NFL,14,4,10,0,.286,-3.4,-1.8,-1.6,,,,,4,
