Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1954,BAL,HC,12,10,8,10,10,12,12,4,10,10,11,9,2,10,11,11,4,11,5,8,11,10,8,12,6,11,3,7,3,9,9
1955,BAL,HC,12,7,5,8,11,9,11,3,4,6,5,7,1,10,10,10,6,9,11,6,11,6,9,10,10,11,6,9,2,7,9
1956,BAL,HC,12,7,9,10,5,4,4,6,7,2,2,2,9,6,6,5,3,5,11,11,9,5,7,9,8,5,9,12,12,12,11
1957,BAL,HC,12,4,2,2,2,2,2,3,6,5,8,4,2,3,1,1,6,4,6,8,4,1,1,2,1,9,12,11,12,2,7
1958,BAL,HC,12,1,1,1,1,1,1,1,3,2,1,3,2,5,6,1,1,5,2,2,1,1,1,5,4,7,11,5,1,1,3
1959,BAL,HC,12,2,1,1,2,1,1,2,2,7,6,8,3,1,1,1,3,3,8,7,1,1,4,10,10,12,12,10,3,1,7
1960,BAL,HC,13,8,6,5,2,1,4,8,11,11,6,9,6,1,1,2,10,3,4,6,4,6,8,11,10,11,6,2,1,2,2
1961,BAL,HC,14,6,14,10,1,2,7,9,5,3,3,4,4,1,3,10,13,8,1,10,14,7,10,11,11,14,3,1,4,14,1
1962,BAL,HC,14,7,10,6,3,5,8,9,5,11,13,12,11,5,5,3,9,5,4,6,6,7,3,7,2,4,9,6,7,9,6
1963,NYJ,HC,8,7,7,7,8,8,8,6,8,8,8,8,3,2,7,6,6,7,8,7,6,8,8,8,8,5,2,7,7,6,7
1964,NYJ,HC,8,6,4,5,7,7,7,2,5,5,5,6,1,5,7,5,6,7,6,5,5,6,5,5,5,6,5,7,2,1,7
1965,NYJ,HC,8,5,4,5,4,4,7,4,7,5,5,4,7,5,4,5,3,3,5,6,5,7,7,3,4,7,6,5,6,4,3
1966,NYJ,HC,9,6,7,6,4,2,5,5,6,6,4,6,2,1,1,5,7,2,4,6,9,4,5,5,5,7,7,5,4,7,4
1967,NYJ,HC,9,4,5,4,2,1,3,6,7,7,3,8,2,1,1,2,7,2,3,5,8,3,6,6,7,9,4,2,5,5,3
1968,NYJ,HC,10,3,2,3,1,3,2,3,3,8,1,9,2,3,3,4,4,2,1,4,2,2,1,2,1,3,4,2,4,2,3
1969,NYJ,HC,10,3,1,3,4,4,3,3,2,3,3,9,4,7,3,4,3,2,4,3,2,2,2,2,5,3,9,8,7,3,4
1970,NYJ,HC,26,21,12,18,9,14,17,13,8,13,12,17,3,15,13,16,15,16,5,18,14,6,2,4,1,23,17,20,22,6,15
1971,NYJ,HC,26,14,12,22,24,26,23,4,10,11,12,16,1,25,26,10,9,22,19,19,25,15,25,21,26,15,8,9,18,25,12
1972,NYJ,HC,26,13,12,12,14,2,2,9,18,13,5,7,2,16,1,3,17,1,22,19,15,15,18,20,19,19,17,26,16,12,23
1973,NYJ,HC,26,21,15,18,16,16,17,19,21,16,25,12,16,8,11,9,20,17,16,17,5,21,20,13,16,3,3,14,21,10,20
