Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108,Feature 109,Feature 110,Feature 111,Feature 112,Feature 113,Feature 114,Feature 115,Feature 116,Feature 117,Feature 118,Feature 119,Feature 120,Feature 121,Feature 122,Feature 123,Feature 124,Feature 125,Feature 126,Feature 127,Feature 128,Feature 129,Feature 130,Feature 131,Feature 132,Feature 133,Feature 134,Feature 135,Feature 136,Feature 137,Feature 138,Feature 139,Feature 140,Feature 141,Feature 142,Feature 143,Feature 144,Feature 145,Feature 146,Feature 147,Feature 148,Feature 149,Feature 150,Avg 2Y Win Pct,Coach Tenure Class
Abe Gibron,1972,47,0,0,0,0,12,0,0,,,-0.9149794255138703,-0.13115904346987725,,,-1.2941045610150022,-0.34312882433620345,,,-0.6690871931789643,-0.2555187014593437,,,0.3877365724620237,0.3400955313297684,,,-1.5669496084934038,-0.4554182626385049,,,-2.8884876184657324,0.0408266034838144,,,-2.6085077254921294,-0.1645699413564805,,,-2.6253224420900296,0.1597909413317973,,,-1.336306209562122,0.11290648942424725,,,-1.0234117947538943,0.4459459459459462,,,-1.0649702600921345,0.3566305673429831,,,-2.897984228520949,-0.03977722198292597,,,1.0667141847489436,0.09760821369935499,,,1.0673792786794445,-0.6488305489260721,,,0.18423506383622065,-0.5585696017507576,,,0.6852482888641949,-1.171507099434849,,,0.7485028082774715,-0.626309837932693,,,0.23193201937216665,-0.22118044683724572,,,-0.7663569140857736,-0.1825018383820736,,,-1.2020611626727982,0.30692027635545016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,-0.95636808716879,-0.04636003085346285,-1.4859021273769955,0.7714702500710559,-1.6311511696122831,0.14532439158334365,0.3793530094214601,0.6538239626838975,0.0,0.26785714285714285,1
Adam Gase,2016,38,0,0,0,0,5,3,0,1.5326185885817845,,-0.02164985581405747,0.2927408333497583,1.3488073675977688,,-0.5498557670623628,1.2559854000684492,1.0768748256532257,,0.6697205446030633,0.3221535073039133,-0.33145813630085974,,0.17440419470817276,0.5608427047816474,1.3276715430439117,,-1.5084799698421396,1.0645776466223038,0.9250295746613046,,-1.0666878031594067,0.2583400163889556,0.574731056589047,,-1.890144996253407,0.5422573582676196,1.3165568732842272,,-0.7341069462964044,0.033530357068053296,1.6522880603465744,,0.3419605736116673,1.004388610751554,-0.40417970969692,,0.3897950217136972,0.8855216988061829,1.4348657130972793,,0.7225240954138935,-0.3347798747496126,1.1858341485983195,,-1.2558075695914943,0.0,0.60429345897093,,-0.2625974315136067,1.1035037469175109,0.19704366080790572,,0.2801865711182758,1.7063791978784753,0.6149907367015959,,0.031167927001908062,-0.42642927497157945,-0.2589911838588252,,0.7245333724107339,1.7320508075688752,0.5977393658019675,,-0.27027072895021664,1.0065628104277855,0.4571460788366148,,1.33074642737033,0.11072874503779287,0.6373544768808975,,1.7239592997265374,-0.08465736735752451,0.21553392108590952,,-1.5100102208242945,1.8657096051526203,0.5096979923430128,,0.6777741743905965,1.1369390446730725,1.2705094095310323,,-0.7883000294416529,-0.13959302029162865,-0.5843544654451603,,-0.04632272485693514,0.6054698702143224,-0.05331715987023663,,-1.1099161238353632,0.0956573405305923,0.34687610162612215,,-2.4464170519209114,0.0537696580838103,0.9360943558884917,,-0.7519204760087906,0.236852516839512,1.4018323248167617,,-0.2885107388993161,0.002296582117268095,-0.1980434097495275,,-1.716507517425793,0.21818911108779787,1.1662956090698249,,-0.7455346211274207,-1.1343267786273592,-0.8226159463805516,,-2.3883077847559098,0.2494351729446229,1.0374919455907448,,-2.9937772654665205,0.31269571179276795,1.0992168046127282,,-0.6765286144478478,-0.17395002634003864,1.0816544073823613,,-0.004347538452151957,0.2083506362538692,0.4375,-0.2684961917239922,0.3273215319180076,-0.36641013722790483,0.29059132295415935,-0.1526607309333329,-0.031051638151515626,-0.49343572931901913,-0.44990111027021734,0.0,0.5,1
Adam Gase,2019,41,1,0,0,0,5,3,3,1.5326185885817845,,-0.7815409124406703,0.5979104304433129,1.3488073675977688,,-1.2280612409960598,0.46611381800752993,1.0768748256532257,,-0.63707622009544,0.23403419303274947,-0.33145813630085974,,0.4827988988497607,0.02065553367663707,1.3276715430439117,,-1.5821141374921148,0.3617094991322734,0.9250295746613046,,-0.5423861010496992,-0.06414602008963946,0.574731056589047,,-0.6936682490730226,-0.1241549296393323,1.3165568732842272,,-0.8667406422426656,0.11596326825330573,1.6522880603465744,,-0.16582450047752978,0.619944520854673,-0.40417970969692,,0.6513073100623546,0.33299210157811554,1.4348657130972793,,-0.5483511736241043,0.3798771377643596,1.1858341485983195,,-0.9189168856031362,-0.017910019915158698,0.60429345897093,,-0.8716771706576506,0.686470553849067,0.19704366080790572,,-0.7238130509191888,0.5081293137015684,0.6149907367015959,,-1.236983117316234,0.13927583226723,-0.2589911838588252,,-0.23465535155585937,0.11162727943106654,0.5977393658019675,,-1.1514990993380079,0.07289225444674696,0.4571460788366148,,1.0183309216568284,0.4247751854957885,0.6373544768808975,,1.4258710115333997,0.23559007808051668,0.21553392108590952,,-0.7370238037023287,1.3870214341319904,0.5096979923430128,,0.7330729172129524,0.7951854005526402,1.2705094095310323,,-1.2867908468798377,0.24577708625811243,-0.5843544654451603,,0.368256880507493,-0.136113952379515,-0.05331715987023663,,-1.128670688241425,0.15075935644813465,0.34687610162612215,,-1.9142043975620355,-0.4223039634555147,0.9360943558884917,,-1.3253953121054787,-0.0731480453771424,1.4018323248167617,,-1.0937978556597172,0.3523612012989583,-0.1980434097495275,,-0.7929911139718043,0.1512249537292702,1.1662956090698249,,-1.5174910705791553,-0.13039753520480615,-0.8226159463805516,,-0.4275055202287523,-0.7546277834033073,1.0374919455907448,,-1.1092217033957912,-1.0996305175367205,1.0992168046127282,,-1.5167979339535353,0.3747965769501085,1.0816544073823613,,-0.28425143153096494,0.35159284090475995,0.28125,-0.6560915216699068,1.0490069274570228,-1.094508200229655,0.8250190443790659,-0.9496333619168674,0.34444290146352613,-0.32918645018276993,0.9100207187703246,0.0,0.28125,0
Adam Walsh,1945,44,0,8,0,12,0,0,0,,,0.9369286395811232,-1.2284687344779983,,,1.258771189411091,-0.5158302542528139,,,1.6613490437476677,-0.9874252769412584,,,1.021026375512799,1.756003765029542,,,0.6290484246211887,0.6167171614975835,,,0.11586197474019436,0.3692308147000267,,,-0.3555574090101904,1.9412453964569196,,,0.9100692745218676,0.14533460604683726,,,0.9871789569240376,-0.5981471225195308,,,0.1020946334949615,1.3965208730368557,,,1.5190863121051181,-1.1225189466825314,,,0.9670364976753154,0.4174544402284399,,,0.3137407249733636,-0.5261834289925236,,,1.3125520860581348,-0.7885422007756082,,,1.018350154434631,-0.7671992600910912,,,1.5971133986746906,-0.8492570923410403,,,0.4274373669939289,0.7039144092114435,,,0.480847036834345,-1.452482234435317,,,0.2097819728249172,-1.2791607490204056,,,-0.7494028186010652,-0.1837260848698503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.11612261564348675,0.671840759246537,-0.16946530739809704,1.1218971653675898,-0.06097107608496929,1.112303382133638,1.146577287233998,0.8545976121261313,0.0,0.7454545454545455,0
Al Cornsweet,1931,25,0,0,0,0,0,0,0,,,-0.9410030795679152,0.6188558505874858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9323855310083309,,,,,,,,,,,,,,,,,,,,,,,,-0.6941704258159067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0
Al Groh,2000,56,0,10,3,7,7,5,0,,-0.0037187809136560723,-0.11875522713079407,-0.1328990574611049,,0.14890147818524363,0.36972434705322205,-0.5297443998703143,,0.3452783605133257,-0.09669993847903688,-0.8245982349942131,,-0.15006988242736308,1.4192852201366866,0.6170929110751409,,-0.4947563557193124,0.3166645954050668,-0.7972900739436787,,-0.20976240227770537,1.0726125707096579,-1.3015744921149417,,-0.1335627343044441,2.0076339602785183,-0.23404738970546654,,0.08645315599443841,0.8978952919615093,-0.9389703115938606,,0.14474073489763228,0.3536525700183176,-0.5811099450938075,,-0.06853850872179487,2.4174976398330377,0.7510569174585242,,0.1918580843878449,0.18977706603746933,-0.8933889698827272,,-0.46209039871368507,0.6190136498462866,-0.9363956427260682,,-0.03417181491755831,-0.3853682054805879,0.5956025152598706,,0.12360741651118501,-0.8858578471637335,0.2403549876795129,,-0.18558589746064819,-0.4636662083661273,-0.7925657773103987,,0.4411462537245178,-1.13586422043168,-0.1190409541937884,,-0.06093317738513258,-0.7124105413381484,-0.001480404771945812,,0.531750812160886,-1.8199221790987128,-0.10535001261418377,,0.2607284774703813,-1.7111495314984253,-0.09190849166199264,,-0.5311421112496569,0.8942736579595731,-1.119131698296368,,,1.774303710886051,1.3522105224227994,,,-0.3619314025418038,-0.4055949391266902,,,1.2723979272273622,0.4402142529867288,,,-0.9437794490738634,-0.8690027889150241,,,-0.1748936812054434,-0.4847260562353723,,,-0.1274817302857325,-0.8292560815375425,,,-0.28360234928468336,-0.6627644242933306,,,1.1441117708972142,1.7504833574953482,,,-0.027154807906936328,0.20444988533393768,,,0.4327936054950024,0.3362888482035457,,,1.0419277492409371,-0.21445102745367334,,,0.31540779947054776,0.01623359510974106,,,0.480112829689261,-0.7288713769086876,0.625,0.2766580314445759,-0.9747881297186463,0.2530243080033608,-0.15407914509445425,0.17708898811371512,-0.08458375257479356,0.41072501443621307,-1.0563811891107036,1.0,0.5625,0
Al Jolley,1929,30,0,0,0,0,0,0,0,,,-0.8074250226830282,0.5580329081709209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3883809245876808,,,,,,,,,,,,,,,,,,,,,,,,-1.3090545159281637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.6393704953486987,0.2948195162259523,,,,,,,,0.16666666666666666,1
Al Jolley,1933,34,1,0,0,0,0,0,1,,,-1.023298216710749,0.2728978366428198,,,-1.8065870452602848,0.2592291431839506,,,-1.7923800222323465,0.01637584836768289,,,-1.2813990720456698,-0.439747413860776,,,,,,,-1.5463615076492054,0.7971490989011795,,,-1.6525045234856224,-0.0441596163651085,,,-1.5655095573274045,0.4146169671160256,,,-0.8478533099138948,0.16245910832216462,,,-1.2813990720456698,-0.439747413860776,,,-1.4271873258128362,0.3720584147803398,,,,,,,-1.38215398662398,0.08036643130432697,,,-1.329019301127174,-0.06693078348000217,,,-1.1957737631764367,0.02702702702702693,,,-1.2464454055961562,-0.10599978800063847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Al Nesser,1926,34,0,0,0,0,0,0,0,,,-0.8818976928316637,0.28245419197981525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7724665624059777,,,,,,,,,,,,,,,,,,,,,,,,-0.7303707265945579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,-0.3891570472142746,-0.08368397040185682,,,,,,,,0.25,0
