,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,cf_num_nfl_employers,cf_num_college_employers,cf_nfl_share,cf_age_first_job,cf_age_first_nfl,cf_gap_before_hire,cf_internal_hire,cf_years_at_hiring_org,cf_pre_OC,cf_pre_DC,cf_pre_POS,cf_pre_HC,cf_pre_side_off,cf_pre_side_def,cf_pre_level_nfl,cf_ever_nfl_oc,cf_ever_nfl_dc,org_prev_coach_tenure,org_unique_hc_10yr,hire_qb_av,hire_roster_av,hire_starter_av,hire_starter_age,hire_roster_age,hire_starter_exp,hire_roster_exp,hire_recent_r1_picks,hire_premium_draft,hire_roster_turnover,hire_off_retention,hire_def_retention,tq_srs,tq_osrs,tq_dsrs,tq_mov,tq_sos,tq_srs_traj,rf_final_unit_pctl,rf_avg_unit_pctl,rf_unit_traj,rf_final_winpct_pctl,rf_avg_winpct_pctl,rf_n_seasons_rank,Avg 2Y Win Pct,Coach Tenure Class
30,Bart Starr,1975,41,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,-0.9558092320799028,-0.6409695433189593,-1.14472468300673,-0.6005646554131459,-1.0674118435525766,-0.565619415542791,0.0873376279740971,-0.05464892380660841,0.0,1,0,1.0,38.0,38.0,2,0,0,0,0,1,0,1,0,1,0,0,4.0,3,3.0,3.89,6.59,26.95,26.32,4.27,3.6,4.0,6.0,52.08888888888888,42.094,64.5825,-1.3,-3.2,2.0,0.3,-1.6,-4.150000000000002,,,,,,0,0.3214285714285714,2
31,Ben Johnson,2025,39,0,1,0,0,4,3,0,1.6490248856533496,1.737787488386494,1.2926768805523103,0.9677362778115021,1.6708998118787608,0.8090028554368875,0.31446189512627337,1.428033507985872,1.2295970718671416,0.7334023200854851,1.4002524260149423,1.6342950284073439,0.8714134591340827,0.8854737150227582,1.8712835436386523,0.6172616444001865,0.6244949909162583,0.20918875799793987,-0.43472853780816595,-0.28991030675853097,-0.3557058794102197,1.313700964467603,0.822182220522293,0.8274045460272624,1.0264117321088102,1.5798326284117845,1.6832274502830937,-0.39437960740464884,0.7749425530865413,1.6520040068292516,0.4273190635816728,1.6098826825277568,1.4714063391213237,0.3529411764705882,-0.5941196752659957,-0.09793116825547545,-0.8836883550726773,0.21398537280482186,-1.0994073789291172,0.889190442473377,0.7477207949170909,-0.1930022197650355,0.0,2,1,0.875,25.0,29.0,0,0,0,1,0,0,0,1,0,1,1,0,3.0,3,12.0,2.93,6.68,26.41,26.48,4.05,3.49,3.0,7.0,39.26777777777777,49.332,26.6875,-2.3,-4.8,2.4,-3.5,1.2,2.0500000000000007,1.0,0.913978494623656,0.06451612903225795,1.0,0.881720430107527,3,-1.0,-1
32,Ben McAdoo,2016,39,0,2,0,0,8,2,0,0.5917739859774749,0.6259867001311766,0.2899847575660043,-0.18367806623199862,0.38985190688678295,0.7200678621457464,0.8395137989868191,0.8811980779297081,1.0004784523499066,-0.0344076442603316,0.5047967933678161,0.5763493295489038,-0.0007754881721349083,-0.48814741318187815,-0.546255419020404,-0.8060061236688505,-0.7243393535623954,0.47139027781021664,0.6092246647158374,1.3143207407136763,0.4047869882577697,0.41089193559634596,0.0017402764074894023,-0.5119540866364655,0.24744257776704465,0.3312667058235492,0.44223503167049183,0.9541498741455541,0.20972368979538206,0.3560162572747727,-0.4337452626678571,0.8766452928941556,-0.35793990408063403,0.375,0.5917739859774749,1.0634901967155714,0.6259867001311766,1.6135248624712863,0.2899847575660043,1.5161308055446572,0.6217568370029424,0.18367806623199862,0.0,2,2,0.8333333333333334,24.0,29.0,0,1,2,1,0,0,0,1,0,1,1,0,12.0,1,14.0,2.81,6.05,26.77,26.3,4.05,3.29,3.0,6.0,40.49888888888889,58.93000000000001,17.46,-3.6,2.5,-6.1,-1.4,-2.2,0.9000000000000014,0.8387096774193549,0.7258064516129032,0.22580645161290308,0.32258064516129037,0.3064516129032258,2,0.4270833333333333,0
37,Bill Arnsparger,1974,48,0,14,0,0,6,4,0,1.4105019031356136,0.9194026659327096,0.577517297282449,0.26754571506407665,0.9102413448588127,-0.412952849132061,-0.11160426482120529,0.7098532659867377,1.1169907748087988,0.42593526575525814,0.8572435776785589,0.28737806419188316,0.9756212434949975,0.6846778315900758,0.7347071785173513,0.12343181550280416,0.6240500324931783,-0.800339637440731,-0.7316812847041569,1.270207490731649,,,,,,,,,,,,,,0.375,-0.013205418125127877,0.2886766710690583,0.4712798374955937,0.276262981112175,0.2355724548900373,1.3028414971069093,0.23452535974087987,0.002291298362093075,0.0,2,4,0.4166666666666667,24.0,38.0,0,0,0,0,1,0,0,0,1,1,0,1,5.0,2,2.0,3.04,4.82,28.05,26.33,5.18,3.55,3.0,5.0,64.41777777777777,69.286,58.332499999999996,-7.5,-2.8,-4.7,-9.7,2.2,0.25000000000000266,1.0,0.94,0.03999999999999985,1.0,0.95,4,0.25,1
39,Bill Austin,1970,42,1,0,0,0,8,0,3,-0.5002442300056132,-0.4347934773162255,-0.4963219657466922,-0.42987214512643623,-0.06515131818263546,0.036663539814391,0.2665153690902527,-0.35488933416165264,-0.5193201728010939,-0.2810966293312216,-0.6081424559572252,0.24989135405654786,-0.45650607836277673,-0.31243666245391793,-0.1210741120614948,-0.13174883191841344,-0.3555626075775548,0.6212265976425697,0.6379509073836745,0.014235758983539293,,,,,,,,,,,,,,0.4642857142857143,-0.1627240498083018,0.6029933787312204,-0.26900740170563425,0.6789089121868795,-0.12144515026173361,0.5212274293826852,-0.64898971163682,-0.4700533956722647,0.0,4,0,1.0,31.0,31.0,0,1,1,0,0,1,0,1,0,1,0,0,1.0,4,,,,,,,,,,,,,-3.0,-1.0,-2.0,-0.9,-2.1,-0.4500000000000012,0.06666666666666665,0.22857142857142856,-0.10952380952380951,0.1333333333333333,0.2063492063492063,3,0.42857142857142855,0
40,Bill Belichick,1991,39,0,0,0,0,8,6,0,1.0378068962569884,1.0107258470304537,1.1539896045754243,0.1584129716317878,1.0552118021016506,-0.5186123718331599,-0.6975376973949805,0.4622158572623918,0.7448045058808882,0.29907195620715926,1.1234134295625366,0.3680559100594764,1.0277727851162863,1.0671390453530936,0.8251026046775533,0.8328047354053899,0.987282051710297,0.3322938493233899,0.016013338134700888,0.3234761120906614,,,,,,,,,,,,,,0.390625,-0.8043591391216348,0.4227611063954665,-0.7190935698157678,-0.13212714776280587,-0.9427059874797302,-0.26426749449967346,-0.6265495170334282,0.5552185184603848,1.0,3,0,1.0,25.0,25.0,0,0,0,0,1,0,0,0,1,1,0,1,2.0,3,5.0,2.46,4.73,28.14,26.89,5.18,3.63,2.0,6.0,54.90777777777778,52.5,57.917500000000004,-13.0,-5.2,-7.8,-14.6,1.7,-6.749999999999997,1.0,0.8395061728395062,0.14814814814814814,0.962962962962963,0.8086419753086419,6,0.40625,2
41,Bill Belichick,2000,48,1,0,0,0,9,9,5,0.5443429765212199,0.18454698035594982,0.5322970949874614,-0.0020753536948086367,0.036407454549287295,-0.475041584668978,-0.642652563228108,0.06291320922774502,0.37438689819062765,0.08954048271189562,0.5859300559470814,-0.10411230246378912,0.19115154758855185,0.19870556069456802,0.24794397640961222,0.17318695117438174,0.11299761371501459,-0.05731003676460428,-0.15415727644733085,-0.06475739179507159,0.2959437831085082,-0.1279414588076409,1.163551180159678,0.2122373020992843,-0.489211894128146,-0.5923476624766718,-0.0125861693575962,-0.06005201462989,-1.0475890895107165,0.6334387716003218,-0.1818204810415376,-0.1615514231478353,0.648219658497391,0.53125,-0.27779242979927726,-0.5217548897121805,0.017450991442920498,-0.1859941688957492,0.0575659037567334,-0.7678512086098358,0.1919224059151586,-0.11598400677229811,1.0,6,0,1.0,25.0,25.0,0,0,0,0,1,0,0,0,1,1,0,1,3.0,4,11.0,3.69,7.32,27.68,26.91,5.23,4.0,5.0,8.0,52.19666666666667,55.620000000000005,47.917500000000004,2.2,-1.0,3.2,0.9,1.3,-1.5500000000000005,0.7333333333333334,0.7243386243386242,-0.04712643678160914,0.6333333333333333,0.6578087940156905,14,0.5,2
42,Bill Callahan,2002,46,0,7,1,0,3,4,0,0.8342058265300183,0.48261992906775875,0.2899648748152396,0.15908009819154825,0.652544500535293,0.15554000271696433,-0.1774597802956077,0.22451850021439126,0.5976009729397749,0.6503579138407599,0.3663333883326357,0.4269566356252866,0.6080459912386061,0.5687815704672025,0.6830448948304881,0.2532654719906768,0.5983797980000422,-0.6028823565809794,-0.40748958480608577,-0.10849098677430824,-0.3805858858404149,1.2336102865110374,1.0065576323326866,1.053473435232444,0.8741648798805643,0.8308376126597975,1.2910844972226088,-0.4605983789723774,0.6760308339488952,-0.9864190013914623,1.039435334730295,1.4291475695916898,0.985200094359732,0.6875,1.5629318343986665,-0.18820720791518694,0.7010771342437727,0.11397926601765981,0.5596811871864993,0.16261886542304937,-0.04745424140089133,-1.1206217508420988,2.0,2,3,0.4666666666666667,31.0,39.0,0,1,4,1,0,0,0,1,0,1,1,0,4.0,4,16.0,3.85,8.27,29.86,28.22,7.18,5.17,3.0,7.0,73.70333333333332,76.0,70.8325,3.6,4.0,-0.4,4.5,-0.9,-1.599999999999999,0.9,0.7189655172413794,0.0666666666666667,0.7333333333333334,0.7298850574712644,4,0.46875,0
43,Bill Cowher,1992,35,0,0,0,0,4,3,0,0.9119962565271376,0.5932049024826398,0.11241051673687526,0.6895963214284063,0.9479650911440184,0.6585340535178377,0.34173680695830155,0.5777689304964536,0.7136455812212102,-0.3111910521210954,0.5408697391607832,0.5490722182576043,0.7100715154968228,0.20539021662100074,0.7070577920883486,-0.6262184073814436,0.7347265010218532,1.0815159245662593,0.3880364194286736,0.19890067286228222,,,,,,,,,,,,,,0.5,-0.34936618863809826,-0.25322766762788196,-0.6829860929367192,-0.5532839438418198,-0.1945835637270031,-0.9879080892615789,0.7040996847627183,-0.12987404095701446,0.0,2,0,1.0,28.0,28.0,0,0,0,0,1,0,0,0,1,1,0,1,23.0,1,7.0,3.39,6.41,26.77,25.84,4.0,2.91,4.0,7.0,69.63000000000001,69.334,70.0,-2.9,-0.8,-2.2,-3.3,0.3,0.4000000000000016,0.7777777777777778,0.7901234567901234,0.018518518518518576,0.7037037037037037,0.6790123456790124,3,0.625,2
45,Bill Johnson,1976,50,0,0,0,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6428571428571428,0.6040586051660009,-0.2578965780291012,1.1178477787860528,-0.42713857369729974,1.4660236463498857,-0.452685157728682,-0.360675456763094,-0.26797210915488556,1.0,2,0,0.8947368421052632,31.0,31.0,0,1,6,0,0,1,0,1,0,1,0,0,6.0,1,16.0,5.63,8.27,27.32,25.95,4.55,3.3,3.0,6.0,55.55555555555556,63.334,45.832499999999996,6.9,4.0,2.9,6.7,0.2,1.9499999999999993,,,,,,0,0.6428571428571428,1
47,Bill O'Brien,2014,45,0,7,4,2,3,1,0,1.8294889516248516,1.749317919892122,1.368022174658661,1.2870231173299196,2.20115697407974,1.461243072430449,1.230596616842677,1.853058627391668,1.660228766148735,0.7601873221220004,1.6837237994888834,2.0772702492447195,0.0304201371296634,-0.361136698155114,1.1468292773139113,-0.6280857883742058,0.5579774672916207,0.8875880936882635,0.3526107488295531,0.4904446653998545,-1.0327939215838045,1.8980094125579188,1.347081772493164,-0.0439385048010103,1.728670315168083,1.7342075996459914,1.9335076916314884,-1.324420664916665,1.2700532455074087,-0.609449400220044,1.616975353382784,1.9474520942613005,1.803179801793288,0.4375,-0.3627220226769191,0.13010442706302205,0.3271798875290297,-0.8686041925257098,-0.15475864718037474,-0.5409130355272832,-0.9419429761050215,-0.15618551570221717,1.0,1,5,0.23529411764705882,24.0,39.0,0,0,0,0,0,0,1,0,0,0,1,0,8.0,2,3.0,2.46,5.77,26.82,26.13,4.05,3.09,3.0,6.0,61.614444444444445,76.906,42.5,-7.6,-5.0,-2.6,-9.5,1.9,-6.049999999999998,0.935483870967742,0.935483870967742,,0.967741935483871,0.967741935483871,1,0.5625,2
