,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,cf_num_nfl_employers,cf_num_college_employers,cf_nfl_share,cf_age_first_job,cf_age_first_nfl,cf_gap_before_hire,cf_internal_hire,cf_years_at_hiring_org,cf_pre_OC,cf_pre_DC,cf_pre_POS,cf_pre_HC,cf_pre_side_off,cf_pre_side_def,cf_pre_level_nfl,cf_ever_nfl_oc,cf_ever_nfl_dc,org_prev_coach_tenure,org_unique_hc_10yr,hire_qb_av,hire_roster_av,hire_starter_av,hire_starter_age,hire_roster_age,hire_starter_exp,hire_roster_exp,hire_recent_r1_picks,hire_premium_draft,hire_roster_turnover,hire_off_retention,hire_def_retention,tq_srs,tq_osrs,tq_dsrs,tq_mov,tq_sos,tq_srs_traj,rf_final_unit_pctl,rf_avg_unit_pctl,rf_unit_traj,rf_final_winpct_pctl,rf_avg_winpct_pctl,rf_n_seasons_rank,Avg 2Y Win Pct,Coach Tenure Class
0,Aaron Glenn,2025,53,0,0,0,0,5,4,0,-0.6085081013571114,-0.9582524349105388,-1.3620616889524462,-0.0006335724541628451,-0.7709323231255528,0.11799937742740635,-0.16500897797147968,-1.1230298966667212,-0.20742573412176168,0.15053174836432875,-1.3074069693746315,-0.7720921583617683,0.318787464326721,0.05996121883762051,-0.6213573243100685,-0.22401032573205334,0.0713861956390549,-0.13658622613558127,-0.08644986129481647,-1.0241189036944576,0.4172776637016963,-0.7213834950730861,0.25625761953464166,-0.01790030152165817,-0.17879710917702657,-1.0510480102890438,-0.7937728360282792,1.9013383981187295,-0.10009450029165978,0.06431547399734058,-0.1889748030008096,-0.32905271999365115,-0.8027001704303734,0.3529411764705882,-1.0602279694967678,-0.012855538505037845,-1.2636646668694915,-1.1872444483144837,-1.102638244616679,-1.624895437454866,0.09228332159258867,0.7102633174670121,0.0,2,0,1.0,44.0,44.0,0,0,0,0,1,0,0,0,1,1,0,1,4.0,3,12.0,2.57,6.5,27.55,27.21,5.09,4.13,5.0,9.0,41.72333333333333,45.104,37.4975,-4.3,-3.0,-1.4,-3.9,-0.5,-2.5500000000000003,0.8064516129032258,0.314516129032258,0.33870967741935476,1.0,0.6693548387096775,4,-1.0,-1
1,Abe Gibron,1972,47,0,0,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,-0.95636808716879,-0.046360030853462846,-1.4859021273769955,0.7714702500710559,-1.6311511696122831,0.14532439158334365,0.3793530094214601,0.6538239626838974,0.0,2,0,1.0,35.0,35.0,0,1,7,0,0,1,0,0,1,1,0,0,4.0,2,3.0,3.72,6.09,26.59,26.3,3.95,3.35,2.0,2.0,43.544444444444444,58.379999999999995,25.0,-3.4,-4.4,1.1,-6.5,3.1,1.250000000000001,,,,,,0,0.26785714285714285,1
2,Adam Gase,2016,38,0,0,0,0,5,3,0,1.5326185885817845,1.348807367597769,1.0768748256532257,0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,-0.4571460788366148,-0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,0.4375,-0.2684961917239923,0.3273215319180076,-0.3664101372279049,0.29059132295415935,-0.15266073093333285,-0.031051638151515654,-0.49343572931901913,-0.44990111027021734,0.0,3,0,1.0,29.0,29.0,0,0,0,1,0,0,0,1,0,1,1,0,4.0,4,10.0,2.73,6.14,26.45,25.67,3.77,2.66,3.0,6.0,35.05222222222222,42.379999999999995,25.892500000000002,-6.8,-4.7,-2.2,-4.9,-1.9,-2.9999999999999987,0.29032258064516125,0.7526881720430106,-0.35483870967741926,0.32258064516129037,0.7741935483870969,3,0.5,1
3,Adam Gase,2019,41,1,0,0,0,5,3,3,0.036355268455177954,-0.15904338686611286,0.05452264171273494,-0.026426307304865688,-0.27158565320750827,0.21803042317644322,0.08405625441300822,0.14499838306988005,0.32417486375851545,0.08073637511541086,0.17235902766648867,0.09342743162078013,-0.41688845643464556,-0.4857915273638691,-0.2733814427301266,-0.2686997963456981,-0.3258936882505649,-0.34493658791019294,-0.552647322947982,-0.7068556457025454,0.18038264168824178,-0.07890876426986043,0.041117138804731605,-0.5254942307503438,-0.4760200133907822,-0.1541010413458731,-0.017988579541577336,-0.3413924315291899,-0.03915387697644027,-0.2678032326568573,0.21230807345023456,-0.24222254505035654,0.0674660827716329,0.28125,-0.6560915216699068,1.0490069274570228,-1.094508200229655,0.8250190443790659,-0.9496333619168674,0.3444429014635261,-0.3291864501827698,0.9100207187703246,0.0,4,0,1.0,29.0,29.0,0,0,0,0,0,0,1,0,0,1,1,0,4.0,2,7.0,2.72,5.45,26.23,26.13,3.59,3.13,3.0,6.0,44.196666666666665,45.553999999999995,42.5,-7.8,-2.0,-5.9,-6.8,-1.1,0.35000000000000114,0.06451612903225812,0.4462365591397848,-0.09677419354838707,0.4838709677419355,0.6451612903225806,6,0.28125,0
6,Al Groh,2000,56,0,10,3,7,7,5,0,0.003718780913656028,-0.1489014781852436,-0.3452783605133257,-0.15006988242736308,0.4947563557193124,0.20976240227770537,0.1335627343044441,-0.08645315599443837,-0.14474073489763228,-0.06853850872179487,-0.19185808438784493,0.46209039871368507,0.03417181491755831,-0.12360741651118501,0.18558589746064813,-0.4411462537245178,0.06093317738513262,0.531750812160886,0.2607284774703812,0.5311421112496568,,,,,,,,,,,,,,0.625,0.2766580314445759,-0.9747881297186463,0.2530243080033608,-0.15407914509445425,0.17708898811371507,-0.08458375257479356,0.410725014436213,-1.0563811891107036,1.0,5,7,0.375,24.0,43.0,0,1,3,0,0,1,0,0,1,1,0,1,3.0,4,7.0,3.23,7.0,28.0,27.31,5.23,4.23,1.0,5.0,60.00111111111111,68.336,49.582499999999996,3.1,0.2,2.9,-0.1,3.1,0.10000000000000177,0.5517241379310345,0.5077905491698596,-0.02043422733077913,0.8620689655172413,0.5174968071519797,5,0.5625,0
10,Al Saunders,1987,40,0,4,7,0,3,0,1,-0.5017614054048954,-0.05019154501078016,-0.3493372360755302,-0.8302970511832779,0.5499211767911851,0.5861485884141812,0.8595323892773067,-0.11579348471317741,-0.612717359143923,-1.6469969785562992,-0.48089878279063814,0.36976671462539007,-0.021796650844896806,-0.10198335731914365,0.5077980469565816,-0.14986930795531261,-0.14564734539304053,-0.3861804747648465,-0.2875076776670399,0.12073944722514426,,,,,,,,,,,,,,0.375,1.0508822748868163,1.2788121174765692,1.3697216784592023,1.0886348304903302,1.076047667293673,0.9538454256951145,0.36627442386029957,1.7873979361750398,0.0,1,4,0.26666666666666666,25.0,36.0,0,1,4,0,0,0,1,0,0,1,0,0,1.0,3,9.0,3.31,6.45,27.09,26.19,4.36,3.12,4.0,8.0,55.92555555555556,70.0,38.332499999999996,-1.9,1.2,-3.1,-3.8,1.9,-1.3499999999999996,0.18518518518518523,0.18518518518518523,,0.14814814814814814,0.14814814814814814,1,0.45416666666666666,0
17,Andy Reid,1999,41,0,6,3,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296875,-1.2517224817380335,0.4265309325986473,-0.14490490854162374,-0.07303603421972199,-0.8623130756371834,-0.1057005407677187,-1.0960639167957056,0.01895294976063769,0.0,1,4,0.4375,25.0,34.0,0,0,0,0,0,1,0,1,0,1,0,0,4.0,3,-3.0,2.26,4.45,27.77,26.31,4.73,3.13,3.0,8.0,53.57111111111111,59.048,46.725,-12.8,-12.3,-0.5,-11.4,-1.3,-6.699999999999999,,,,,,0,0.5,2
18,Andy Reid,2013,55,1,6,3,0,7,0,14,0.41968224334012466,0.34356444685807075,0.5343012344052673,0.13606811354312856,0.13468761711515073,0.09246583386136528,0.08889208009928118,0.34269760619019574,0.27871293598035246,0.2341963334673125,0.3283703534321036,0.2385380797114687,-0.29760442010963656,0.0950757872064454,0.2782003377177889,0.4983309983887669,0.11090411630143752,-0.1746581930435632,-0.1885044965698992,-0.4402629377699684,-0.03794551169638836,0.40780009355555585,0.18208952632928035,-0.23616341444022476,-0.07258903646996646,0.32417200390622714,0.3766591686456064,-0.19742515786767828,0.30563297256665684,-0.5514171805055881,0.15413514619903737,0.18845497230333397,0.18076929919524984,0.28125,-1.8740041040368096,0.38612669584219517,-0.7739937871302652,-0.058090003846436894,-0.8567599093806872,0.5010306797605826,-0.7628870774405786,1.1326419276933666,0.0,2,4,0.7,25.0,34.0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,4,2.0,2.29,4.73,25.95,26.33,3.32,3.3,3.0,6.0,40.36888888888889,36.332,45.41499999999999,-14.0,-10.3,-3.7,-13.4,-0.6,-6.65,0.06451612903225812,0.6796466973886329,-0.33870967741935476,0.12903225806451613,0.6886328725038402,14,0.625,2
20,Anthony Lynn,2017,49,0,0,0,0,13,1,0,0.5325864530258138,0.1162524369148896,0.2495037323031011,1.5308812646606276,0.1190102201426367,-1.7908888576382118,-1.950011020549127,-1.6706152321121113,-1.060954600179788,1.145397679189479,-0.8004009440213756,-1.7267354081883048,1.9339622387765016,3.0543025182517,3.0232889191850822,2.474349818987601,2.795078298130721,-0.3296785905058503,-0.2580023773134327,-0.5468143324579671,-0.6569195844093474,0.1396803853517096,1.3742408374224058,0.2491648441263063,0.3653439453719336,0.3075642271507575,0.5601448050496498,-0.0474173347355191,0.3164277377455916,0.0068042956830652,0.1099101305824073,0.258918358615843,1.0970288694259769,0.28125,-0.024374046745203437,0.8479187283377057,0.45803052958145235,0.08619141030695421,0.009479603521514807,0.519128968432361,0.2685210361909483,1.0791321632772326,0.0,5,0,1.0,35.0,35.0,0,0,0,1,0,0,0,1,0,1,1,0,4.0,2,13.0,2.91,6.64,26.82,26.06,4.09,3.04,3.0,6.0,37.74666666666666,42.834,31.3875,0.1,3.0,-3.0,-0.8,0.9,-0.9000000000000007,0.5806451612903225,0.5806451612903225,,0.3548387096774194,0.3548387096774194,1,0.65625,1
21,Antonio Pierce,2024,46,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4117647058823529,-0.06700755465970792,0.14636407948247454,-0.3532383619926235,0.5236258644872585,0.027504309386082504,0.5076111992695606,-1.0485489357723172,-0.07917297046785975,0.0,1,0,0.3333333333333333,36.0,44.0,0,1,2,0,0,1,0,0,1,1,0,0,2.0,4,6.0,2.84,6.32,26.95,26.69,4.36,3.72,2.0,4.0,32.51777777777778,36.35,27.7275,-0.9,-2.4,1.6,0.1,-0.9,1.1999999999999995,0.5161290322580645,0.5161290322580645,,0.3870967741935484,0.3870967741935484,1,0.23529411764705882,0
25,Art Shell,1990,44,0,0,0,0,6,0,1,0.15653581878696018,0.010119642898246739,0.8293103049381988,0.15098674927850192,-0.8201191592531162,-0.98188536796299,-0.7983172882536529,-0.0258693207302913,0.31071968414135914,-0.3953174808825577,0.4930912509166576,-0.24547262207947712,-0.47316757899177697,0.13460226671844625,-0.7069560961265497,0.938113355413596,-0.7667217897623966,-0.6657509282760584,-0.7053036286198803,-0.3143014892479946,,,,,,,,,,,,,,0.46875,-0.1199110552918269,0.1770894763721495,-0.3794803929519641,0.0412141178266926,0.19958484484476988,-0.24292939016025294,0.028491897766065657,-0.20262816513032467,0.0,1,0,1.0,37.0,37.0,0,1,7,0,0,0,1,0,0,1,0,0,1.0,3,5.0,3.66,6.95,27.55,27.21,4.45,4.3,4.0,6.0,38.28,51.524,21.725,1.8,0.0,1.9,1.1,0.7,0.8999999999999994,0.5555555555555556,0.5555555555555556,,0.4814814814814815,0.4814814814814815,1,0.65625,2
26,Art Shell,2006,60,1,0,0,0,12,0,6,0.011342262953857924,-0.016763114537747783,0.4232126413773321,-0.4056534116482187,-0.43215095764389927,-0.3436617241340167,-0.3805219473195732,0.046850290706130594,0.2066143662422284,-0.3122533321803333,0.4717008236986488,-0.15916851713447402,-0.22103893400405142,-0.07597472865435251,-0.32944580160299874,0.16113292014459815,-0.25461042020767893,-0.6275378002967619,-0.6243997867383257,-0.46107608965537034,,,,,,,,,,,,,,0.28125,-0.47651853076979955,1.292270708146926,-0.14144808840357703,0.9877223659599594,0.17703608067441795,0.3669003267244728,-1.489343222617913,0.12484086562612373,0.0,3,0,1.0,37.0,37.0,5,0,0,0,0,1,0,1,0,1,0,0,2.0,5,11.0,3.21,6.18,28.64,27.45,5.64,4.2,4.0,9.0,38.425555555555555,49.166,25.0,-2.8,-1.2,-1.6,-5.8,3.0,1.3500000000000005,0.4814814814814815,0.5123456790123456,-8.198605354538306e-17,0.7037037037037037,0.6481481481481481,6,0.125,0
27,Arthur Smith,2021,39,0,0,0,0,4,2,0,0.9790778734692096,0.8071766662147238,1.3196221590242565,1.260548848740557,0.4808625181443873,-1.3453447523842543,-1.5999109346550946,-0.3525435845853328,0.7107793851717048,1.1317494719728567,1.0832692833068958,-0.3425312926034436,1.1608038642611143,1.5870338615004451,1.683544565785977,1.6878227969340116,0.8478036443505873,0.5153477419877439,-0.08432406422430044,0.5976473377621818,-0.0744377232715373,0.2837413432470144,1.2844331869390415,-0.6179838440689482,-0.4252173599138749,0.6894590806809274,0.8916204645799347,-1.5232229962351314,0.41583425353495107,-0.8315734426032246,-0.4801141458594237,0.25532147760967605,1.9713488080928214,0.34375,0.1158529478456057,0.41484237746602165,0.5828755679470032,0.6828120464307428,-0.0639555250091154,1.099965258805509,-0.16604307886859337,-0.07644029748175177,0.0,1,0,1.0,31.0,31.0,0,0,0,1,0,0,0,1,0,1,1,0,6.0,2,13.0,3.05,6.23,27.5,26.43,4.95,3.51,4.0,5.0,57.196666666666665,69.62,41.667500000000004,0.7,-0.1,0.8,-1.1,1.9,0.39999999999999986,0.9032258064516129,0.8064516129032258,0.19354838709677397,0.8064516129032258,0.7419354838709677,2,0.4117647058823529,1
29,Barry Switzer,1994,57,0,5,7,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,1.4924925997796876,-1.2664207158785659,1.2692829626810347,-1.3117164552316223,1.243839915024139,-1.0161684226704695,-0.3464387104125617,-1.3375510213271027,2.0,0,2,0.0,24.0,,5,0,0,0,0,0,1,0,0,0,0,0,5.0,2,16.0,4.62,10.09,26.82,26.84,4.18,3.64,5.0,10.0,50.739999999999995,50.666,50.832499999999996,9.6,4.9,4.7,9.2,0.4,2.5999999999999988,,,,,,0,0.75,1
