Coach_Name,Background,Offensive_Years,Defensive_Years
Harry Mehre,Other,0,0
Harry Robb,Other,0,0
Harvey Johnson,Defensive,0,2
Herb Dell,Other,0,0
Herb Joesting,Other,0,0
Herb Kopf,Other,0,0
Herb Sies,Other,0,0
Herm Edwards,Both,3,4
Herman Ball,Offensive,13,0
Hinkey Haines,Other,0,0
Hoge Workman,Other,0,0
Homer Rice,Offensive,4,0
Howard Schnellenberger,Offensive,16,0
Hubert Wiggs,Other,0,0
Hue Jackson,Offensive,25,1
Hugh Campbell,Other,0,0
Hugh Devore,Other,0,0
Hugh Taylor,Offensive,7,1
Hugo Bezdek,Other,0,0
Hunk Anderson,Other,0,0
J.D. Roberts,Defensive,0,2
Jack Chevigny,Other,0,0
Jack Christiansen,Defensive,0,1
Jack Del Rio,Defensive,0,11
Jack Depler,Other,0,0
Jack Faulkner,Defensive,0,11
Jack Fish,Other,0,0
Jack Forsyth,Other,0,0
Jack Hegarty,Other,0,0
Jack Heldt,Other,0,0
Jack Keogh,Other,0,0
Jack Meagher,Other,0,0
Jack Pardee,Defensive,0,1
Jack Patera,Defensive,0,13
Jap Douds,Other,0,0
Jason Garrett,Offensive,5,0
Jay Gruden,Offensive,13,0
Jeff Fisher,Defensive,0,9
Jeff Saturday,Other,0,0
Jeff Ulbrich,Defensive,0,12
Jerod Mayo,Defensive,0,5
Jerry Burns,Both,18,6
Jerry Glanville,Defensive,0,14
Jerry Rosburg,Defensive,0,14
Jerry Smith,Both,5,17
Jerry Williams,Offensive,1,0
Jim Bates,Defensive,1,29
Jim Caldwell,Offensive,19,0
Jim Crowley,Other,0,0
Jim Dooley,Both,3,4
Jim Fassel,Offensive,13,0
Jim Hanifan,Offensive,27,0
Jim Harbaugh,Offensive,2,0
Jim Haslett,Defensive,0,25
Jim Kendrick,Other,0,0
Jim Laird,Other,0,0
Jim Lee Howell,Other,0,0
Jim Leonard,Other,0,0
Jim Mora,Defensive,1,19
Jim Ringo,Offensive,18,0
Jim Schwartz,Defensive,0,25
Jim Shofner,Both,22,4
Jim Thorpe,Other,0,0
Jim Tomsula,Defensive,0,28
Jim Trimble,Offensive,2,0
Jim Zorn,Offensive,23,0
Jimmy Conzelman,Other,0,0
Jimmy Johnson,Defensive,0,9
Jimmy Phelan,Other,0,0
Jock Sutherland,Other,0,0
Joe Bach,Other,0,0
Joe Brandy,Other,0,0
Joe Bugel,Offensive,20,0
Joe Collier,Defensive,0,26
Joe Gibbs,Offensive,12,0
Joe Judge,Offensive,3,1
Joe Kuharich,Other,0,0
Joe Philbin,Offensive,31,0
Joe Schmidt,Defensive,0,1
Joe Stydahar,Defensive,0,2
Joe Thomas,Defensive,0,3
Joe Vitt,Defensive,0,16
Joe Walton,Offensive,16,0
Joey Sternaman,Other,0,0
John Armstrong,Other,0,0
John Fassel,Offensive,2,0
John Fox,Defensive,0,22
John Harbaugh,Both,4,6
John Mackovic,Offensive,9,0
John Madden,Defensive,0,5
John Mazur,Defensive,2,8
John McKay,Other,0,0
John McVay,Other,0,0
John Michelosen,Other,0,0
John North,Offensive,9,0
