Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2007,45,ARI,NFL,16,8,8,0,.500,-3.9,1.9,-5.9,,,,,2,6,1,
2008,46,ARI,NFL,16,9,7,0,.563,-1.9,4.1,-6.0,4,3,1,.750,1,9,4,NFC Champions
2009,47,ARI,NFL,16,10,6,0,.625,-0.3,0.1,-0.4,2,1,1,.500,1,10,4,
2010,48,ARI,NFL,16,5,11,0,.313,-12.7,-5.6,-7.1,,,,,4,11,6,
2011,49,ARI,NFL,16,8,8,0,.500,-2.2,-1.7,-0.5,,,,,2,8,4,
2012,50,ARI,NFL,16,5,11,0,.313,-3.2,-4.8,1.6,,,,,4,9,6,
2014,52,TEN,NFL,16,2,14,0,.125,-11.8,-7.0,-4.9,,,,,4,7,1,
2015,53,TEN,NFL,7,1,6,0,.143,-10.5,-5.9,-4.6,,,,,4,2,2,Fired after Week 8
