Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2019,ARI,HC,32,25,18,23,29,21,16,9,19,10,7,2,2,18,24,25,15,22,32,28,25,23,24,5,20,10,28,31,31,30,27
2020,ARI,HC,32,14,17,13,11,6,13,17,6,7,4,9,15,15,17,13,17,18,13,12,18,21,22,7,25,8,21,10,14,18,6
2021,ARI,HC,32,7,4,9,5,8,11,4,7,10,3,22,1,18,10,12,7,11,11,11,7,9,20,3,26,1,10,7,25,15,13
2022,ARI,HC,32,30,26,29,25,22,21,27,20,22,16,20,7,4,18,24,28,31,21,31,20,12,14,27,21,17,21,24,28,21,19
2024,WAS,OC,32,6,15,10,7,7,5,8,5,3,4,4,7,25,17,9,7,13,13,18,20,25,30,18,28,7,2,3,15,26,10
