Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2006,MIN,OC,32,24,10,22,15,23,26,23,17,16,18,14,16,9,18,30,25,26,8,14,3,1,1,4,1,5,32,31,4,5,18
2007,MIN,OC,32,14,13,10,18,13,15,19,6,1,1,1,26,32,28,29,6,19,20,12,9,4,1,3,2,5,32,32,15,20,18
2008,MIN,OC,32,10,24,13,9,17,12,27,3,5,14,6,29,28,25,11,23,19,6,13,15,2,1,6,2,8,22,18,5,21,13
2009,MIN,OC,32,4,8,3,4,5,2,3,9,13,6,22,17,10,8,1,1,7,6,10,22,1,2,1,6,6,18,19,23,26,16
2010,MIN,OC,32,20,29,25,17,23,29,29,12,10,7,9,17,21,26,28,32,28,8,18,17,15,9,10,9,13,14,9,21,17,13
2011,SEA,OC,32,21,5,18,23,28,23,11,15,21,10,25,16,25,22,28,12,26,9,7,5,25,15,6,4,19,19,11,6,4,12
2012,SEA,OC,32,6,5,3,7,17,9,7,1,3,9,5,9,32,27,8,5,7,4,1,5,2,10,5,23,7,19,6,2,8,5
2013,SEA,OC,32,1,1,2,3,17,8,4,2,4,13,12,16,31,26,10,3,6,1,1,1,10,7,1,7,11,7,1,2,1,1
2014,SEA,OC,32,1,4,2,1,9,10,3,2,1,1,1,6,32,27,22,3,14,1,1,20,4,3,5,2,10,1,1,2,18,3
2015,SEA,OC,32,8,5,4,1,4,4,3,3,3,18,7,7,28,20,6,3,5,2,1,16,2,1,10,4,16,11,2,1,13,5
2016,SEA,OC,32,8,16,6,5,12,18,11,20,25,16,24,5,18,10,18,14,9,5,3,22,25,7,22,1,19,5,8,3,21,15
2017,SEA,OC,32,11,8,13,13,15,11,7,21,23,31,21,5,16,14,2,11,15,11,13,9,23,19,22,14,7,17,6,7,13,6
2019,DET,OC,32,30,24,24,28,17,18,19,16,21,29,22,11,17,10,10,21,15,31,26,24,26,21,14,10,7,31,32,27,30,28
2020,DET,HC,32,24,27,30,30,20,20,17,30,30,14,26,15,13,10,13,17,14,32,32,31,29,28,32,15,29,16,30,32,30,32
,DET,OC,32,24,27,30,30,20,20,17,30,30,14,26,15,13,10,13,17,14,32,32,31,29,28,32,15,29,16,30,32,30,32
2021,JAX,HC,32,32,32,32,26,27,32,29,30,22,21,9,30,11,22,32,26,27,20,28,32,25,23,29,16,32,5,17,7,30,27
,JAX,OC,32,32,32,32,26,27,32,29,30,22,21,9,30,11,22,32,26,27,20,28,32,25,23,29,16,32,5,17,7,30,27
