Year,Age,Level,Employer,Role
1996,26,College,Westmar,Quarterbacks/Passing Game Coordinator
1997,27,College,Iowa State,Graduate Assistant
1998,28,College,Connecticut,Wide Receivers
1999,29,College,Connecticut,Wide Receivers
2000,30,NFL,Green Bay Packers,Offensive Asst.
2001,31,NFL,Green Bay Packers,Offensive Asst.
2002,32,NFL,Green Bay Packers,Offensive Asst.
2003,33,NFL,Green Bay Packers,Quarterbacks
2004,34,NFL,Green Bay Packers,Quarterbacks
2005,35,NFL,Green Bay Packers,Quarterbacks
2006,36,NFL,Minnesota Vikings,Offensive Coordinator
2007,37,NFL,Minnesota Vikings,Offensive Coordinator
2008,38,NFL,Minnesota Vikings,Offensive Coordinator
2009,39,NFL,Minnesota Vikings,Offensive Coordinator
2010,40,NFL,Minnesota Vikings,Offensive Coordinator
2011,41,NFL,Seattle Seahawks,Offensive Coordinator
2012,42,NFL,Seattle Seahawks,Offensive Coordinator
2013,43,NFL,Seattle Seahawks,Offensive Coordinator
2014,44,NFL,Seattle Seahawks,Offensive Coordinator
2015,45,NFL,Seattle Seahawks,Offensive Coordinator
2016,46,NFL,Seattle Seahawks,Offensive Coordinator
2017,47,NFL,Seattle Seahawks,Offensive Coordinator
2019,49,NFL,Detroit Lions,Offensive Coordinator
2020,50,NFL,Detroit Lions,Offensive Coordinator
2021,51,NFL,Jacksonville Jaguars,Offensive Coordinator
2022,52,NFL,Miami Dolphins,Quarterbacks/Passing Game Coordinator
2023,53,NFL,Miami Dolphins,Quarterbacks/Passing Game Coordinator
2024,54,NFL,Miami Dolphins,Quarterbacks/Passing Game Coordinator
2025,55,NFL,Miami Dolphins,Quarterbacks/Passing Game Coordinator
