,Year,Age,Level,Employer,Role
0,1968,22,College,Tennessee,Graduate Assistant
1,1972,26,College,Southern Miss,Assistant Coach
2,1973,27,College,Villanova,Offensive Line
3,1974,28,College,Villanova,Linebackers
4,1975,29,College,Kansas State,Linebackers
5,1976,30,College,Kansas State,Linebackers
6,1977,31,College,West Virginia,Defensive Backs
7,1978,32,College,Texas Tech,Defensive Backs
8,1979,33,College,Texas Tech,Defensive Backs
9,1980,34,College,Texas Tech,Defensive Coordinator
10,1981,35,College,Texas Tech,Defensive Coordinator
11,1982,36,College,Texas Tech,Defensive Coordinator
12,1983,37,College,Texas Tech,Defensive Coordinator
13,1984,38,USFL,San Antonio Gunslingers,Assistant Coach
14,1985,39,USFL,San Antonio Gunslingers,Head Coach
15,1989,43,College,Tennessee,Linebackers
16,1990,44,College,Florida,Defensive Coordinator
17,1991,45,NFL,Cleveland Browns,Defensive Line
18,1992,46,NFL,Cleveland Browns,Defensive Line
19,1993,47,NFL,Cleveland Browns,Defensive Line
20,1994,48,NFL,Atlanta Falcons,Defensive Coordinator
21,1995,49,NFL,Cleveland Browns,Defensive Backs
22,1996,50,NFL,Dallas Cowboys,Linebackers
23,1997,51,NFL,Dallas Cowboys,Linebackers
24,1998,52,NFL,Dallas Cowboys,Defensive Line
25,1999,53,NFL,Dallas Cowboys,Defensive Line
26,2000,54,NFL,Miami Dolphins,Defensive Coordinator
27,2001,55,NFL,Miami Dolphins,Defensive Coordinator
28,2002,56,NFL,Miami Dolphins,Defensive Coordinator
29,2003,57,NFL,Miami Dolphins,Defensive Coordinator
30,2004,58,NFL,Miami Dolphins,Defensive Coordinator
31,2004,58,NFL,Miami Dolphins,Defensive Coordinator/Interim HC
32,2005,59,NFL,Green Bay Packers,Defensive Coordinator
33,2007,61,NFL,Denver Broncos,Asst. Head Coach/Defense
34,2009,63,NFL,Tampa Bay Buccaneers,Defensive Coordinator
