,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,chi,252,3511.0,702.0,5.0,32.0,16,190.0,156,310,2073,15,16,6.7,110.0,392,1438,14,3.7,69.0,66,597,11.0,,,,,,,,,,,,,,,,,
1,cle,270,4015.0,733.0,5.5,14.0,5,234.0,159,276,1866,14,9,6.8,109.0,457,2149,20,4.7,118.0,36,329,7.0,,,,,,,,,,,,,,,,,
2,clt,374,4458.0,810.0,5.5,23.0,9,267.0,196,375,2753,33,14,7.3,148.0,435,1705,13,3.9,95.0,56,634,24.0,,,,,,,,,,,,,,,,,
3,crd,234,3172.0,647.0,4.9,55.0,36,179.0,125,280,1559,14,19,5.6,80.0,367,1613,10,4.4,85.0,44,431,14.0,,,,,,,,,,,,,,,,,
4,det,203,3456.0,727.0,4.8,46.0,19,198.0,136,328,1664,10,27,5.1,87.0,399,1792,13,4.5,90.0,65,496,21.0,,,,,,,,,,,,,,,,,
5,gnb,248,3739.0,689.0,5.4,33.0,16,212.0,128,268,1832,16,17,6.8,87.0,421,1907,15,4.5,109.0,49,435,16.0,,,,,,,,,,,,,,,,,
6,nyg,284,4173.0,735.0,5.7,33.0,20,198.0,165,302,2527,18,13,8.4,106.0,433,1646,11,3.8,82.0,54,480,10.0,,,,,,,,,,,,,,,,,
7,phi,268,3887.0,743.0,5.2,24.0,8,211.0,194,352,2572,17,16,7.3,120.0,391,1315,13,3.4,78.0,52,501,13.0,,,,,,,,,,,,,,,,,
8,pit,257,3595.0,725.0,5.0,33.0,10,207.0,150,319,2052,21,23,6.4,103.0,406,1543,10,3.8,82.0,60,532,22.0,,,,,,,,,,,,,,,,,
9,ram,242,4260.0,727.0,5.9,41.0,19,232.0,196,356,2482,14,22,7.0,116.0,371,1778,15,4.8,101.0,51,465,15.0,,,,,,,,,,,,,,,,,
10,sfo,255,3388.0,671.0,5.0,32.0,10,182.0,132,264,1549,12,22,5.9,76.0,407,1839,16,4.5,93.0,57,489,13.0,,,,,,,,,,,,,,,,,
11,was,185,3487.0,706.0,4.9,40.0,17,193.0,121,284,1523,13,23,5.4,80.0,422,1964,9,4.7,94.0,51,453,19.0,,,,,,,,,,,,,,,,,
