Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2013,57,CHI,NFL,16,8,8,0,.500,-4.1,3.0,-7.1,,,,,2,5,3,
2014,58,CHI,NFL,16,5,11,0,.313,-6.7,-2.0,-4.7,,,,,4,2,1,
