,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1989,CLE,OC,28,9,7,8,13,16,14,5,18,21,12,24,15,10,11,16,5,13,7,4,8,10,10,2,9,24,21,9,13,2,6
1,1995,SFO,OC,30,3,5,1,1,2,1,10,18,23,3,25,9,2,1,4,13,5,1,2,9,1,1,1,1,27,27,11,10,1,3
2,1996,SFO,OC,30,3,6,3,4,6,3,2,17,10,4,11,3,11,7,8,10,8,7,4,10,7,5,1,6,7,23,11,13,12,6
3,1998,ARI,OC,30,11,11,18,17,13,15,28,15,21,6,24,25,8,8,20,25,18,21,24,3,26,20,25,18,3,15,17,11,8,18
4,1999,ARI,OC,31,22,30,27,29,29,30,30,25,29,10,30,8,8,27,31,30,30,22,27,22,30,30,28,24,21,6,10,26,15,17
5,2000,ARI,OC,31,29,30,30,27,24,29,30,30,27,29,25,29,13,17,23,29,17,30,30,29,30,30,31,26,22,3,11,13,28,27
6,2002,OAK,OC,32,4,5,3,2,1,2,4,23,18,5,13,7,2,1,8,2,3,11,6,8,4,3,11,4,23,25,23,15,5,12
7,2003,OAK,OC,32,29,18,26,30,25,26,11,21,16,12,13,18,13,27,32,8,29,30,25,20,32,32,30,25,19,3,22,20,20,29
8,2013,CHI,HC,32,14,11,21,19,8,2,13,24,16,17,7,16,16,5,5,13,5,30,30,13,30,32,31,32,21,2,15,14,8,27
9,2014,CHI,HC,32,26,22,27,28,21,23,26,30,27,26,19,16,7,15,9,30,25,30,31,20,14,17,17,22,16,16,30,31,14,31
10,2015,BAL,OC,32,26,30,24,11,14,25,22,25,26,21,24,2,1,8,23,29,22,8,24,30,17,12,10,10,22,10,10,22,32,16
11,2016,BAL,OC,32,17,9,13,8,17,21,17,30,28,22,21,7,1,12,21,22,26,7,9,4,8,5,5,5,9,17,9,24,1,10
