,Year,Age,Level,Employer,Role
0,1981,25,College,Miami-FL,Volunteer Assistant
1,1982,26,College,Miami-FL,Volunteer Assistant
2,1983,27,College,Miami-FL,Quarterbacks
3,1984,28,College,Miami-FL,Quarterbacks
4,1985,29,NFL,Minnesota Vikings,Running Backs
5,1986,30,NFL,Minnesota Vikings,Running Backs
6,1987,31,NFL,Tampa Bay Buccaneers,Quarterbacks
7,1988,32,NFL,Cleveland Browns,Quarterbacks
8,1989,33,NFL,Cleveland Browns,Offensive Coordinator
9,1990,34,NFL,Minnesota Vikings,Quarterbacks
10,1991,35,NFL,Minnesota Vikings,Quarterbacks
11,1995,39,NFL,San Francisco 49ers,Offensive Coordinator
12,1996,40,NFL,San Francisco 49ers,Offensive Coordinator
13,1997,41,NFL,Detroit Lions,Quarterbacks
14,1998,42,NFL,Arizona Cardinals,Offensive Coordinator
15,1999,43,NFL,Arizona Cardinals,Offensive Coordinator
16,2000,44,NFL,Arizona Cardinals,Offensive Coordinator
17,2001,45,NFL,Oakland Raiders,Quarterbacks
18,2002,46,NFL,Oakland Raiders,Offensive Coordinator
19,2003,47,NFL,Oakland Raiders,Offensive Coordinator
20,2004,48,NFL,Miami Dolphins,Assistant Head Coach
21,2005,49,College,North Carolina State,Offensive Coordinator
22,2006,50,College,North Carolina State,Offensive Coordinator
23,2007,51,NFL,New Orleans Saints,Consultant
24,2008,52,CFL,Montral Alouettes,Head Coach
25,2009,53,CFL,Montral Alouettes,Head Coach
26,2010,54,CFL,Montral Alouettes,Head Coach
27,2011,55,CFL,Montral Alouettes,Head Coach
28,2012,56,CFL,Montral Alouettes,Head Coach
29,2013,57,NFL,Chicago Bears,Head Coach
30,2014,58,NFL,Chicago Bears,Head Coach
31,2015,59,NFL,Baltimore Ravens,Offensive Coordinator
32,2016,60,NFL,Baltimore Ravens,Offensive Coordinator
33,2017,61,CFL,Toronto Argonauts,Head Coach
34,2018,62,CFL,Toronto Argonauts,Head Coach
35,2020,64,XFL,Tampa Bay Vipers,Head Coach
36,2024,68,NFL,Los Angeles Chargers,Senior Offensive Asst.
37,2025,69,NFL,Los Angeles Chargers,Senior Offensive Asst.
