,Year,Age,Level,Employer,Role
0,1966,33,AFL,Kansas City Chiefs,Defensive Backs
1,1967,34,AFL,Kansas City Chiefs,Defensive Backs
2,1968,35,AFL,Kansas City Chiefs,Defensive Backs
3,1969,36,AFL,Kansas City Chiefs,Defensive Backs
4,1970,37,NFL,Kansas City Chiefs,Defensive Backs
5,1971,38,NFL,Kansas City Chiefs,Defensive Backs
6,1972,39,NFL,Kansas City Chiefs,Defensive Backs
7,1973,40,NFL,Kansas City Chiefs,Defensive Backs
8,1974,41,NFL,Kansas City Chiefs,Defensive Backs
9,1975,42,NFL,Kansas City Chiefs,Defensive Backs
10,1976,43,NFL,Kansas City Chiefs,Defensive Backs
11,1977,44,NFL,Kansas City Chiefs,Defensive Coordinator/Interim HC
12,1978,45,NFL,St. Louis Cardinals,Defensive Coordinator
13,1979,46,NFL,St. Louis Cardinals,Defensive Coordinator
14,1980,47,NFL,St. Louis Cardinals,Defensive Coordinator
15,1981,48,NFL,St. Louis Cardinals,Defensive Coordinator
16,1982,49,NFL,St. Louis Cardinals,Defensive Coordinator
17,1983,50,NFL,St. Louis Cardinals,Defensive Coordinator
18,1984,51,NFL,St. Louis Cardinals,Defensive Coordinator
19,1985,52,NFL,Cleveland Browns,Defensive Coordinator
20,1986,53,NFL,Houston Oilers,Defensive Backs
21,1987,54,NFL,Houston Oilers,Defensive Backs
22,1988,55,NFL,Kansas City Chiefs,Defensive Backs
23,1989,56,NFL,Philadelphia Eagles,Defensive Backs
24,1990,57,NFL,Philadelphia Eagles,Defensive Backs
25,1991,58,NFL,Los Angeles Rams,Defensive Backs
26,1993,60,NFL,Houston Oilers,Defensive Backs
27,1994,61,NFL,Houston Oilers,Defensive Backs
