Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2010,DEN,HC,32,29,27,29,25,13,19,16,27,26,12,24,27,7,7,15,7,9,32,32,30,31,31,32,29,24,5,25,24,30,30
2021,MIA,OC,32,14,16,21,23,25,22,25,18,30,24,31,30,8,17,20,14,26,15,16,8,8,14,18,18,4,22,16,6,14,7
