Year,Age,Level,Employer,Role
1958,23,College,Alabama,Defensive Assistant
1959,24,College,Alabama,Defensive Assistant
1960,25,College,Alabama,Defensive Assistant
1961,26,College,Alabama,Defensive Assistant
1962,27,College,Alabama,Defensive Assistant
1963,28,College,Alabama,Defensive Assistant
1964,29,College,Alabama,Defensive Assistant
1965,30,College,Texas A&M,Head Coach
1966,31,College,Texas A&M,Head Coach
1967,32,College,Texas A&M,Head Coach
1968,33,College,Texas A&M,Head Coach
1969,34,College,Texas A&M,Head Coach
1970,35,College,Texas A&M,Head Coach
1971,36,College,Texas A&M,Head Coach
1972,37,NFL,Dallas Cowboys,Defensive Backs
1973,38,NFL,Dallas Cowboys,Defensive Backs
1974,39,NFL,Dallas Cowboys,Defensive Backs
1975,40,NFL,Dallas Cowboys,Defensive Backs
1976,41,NFL,Dallas Cowboys,Defensive Backs
1977,42,NFL,Dallas Cowboys,Defensive Backs
1978,43,NFL,Dallas Cowboys,Defensive Backs
1979,44,NFL,Dallas Cowboys,Defensive Backs
1980,45,NFL,Dallas Cowboys,Defensive Backs
1981,46,NFL,Dallas Cowboys,Defensive Backs
1982,47,NFL,Dallas Cowboys,Defensive Backs
1983,48,NFL,Dallas Cowboys,Defensive Backs
1984,49,NFL,Dallas Cowboys,Defensive Backs
1985,50,NFL,Dallas Cowboys,Defensive Backs
1986,51,NFL,St. Louis Cardinals,Head Coach
1987,52,NFL,St. Louis Cardinals,Head Coach
1988,53,NFL,Phoenix Cardinals,Head Coach
1989,54,NFL,Phoenix Cardinals,Head Coach
1990,55,College,Alabama,Head Coach
1991,56,College,Alabama,Head Coach
1992,57,College,Alabama,Head Coach
1993,58,College,Alabama,Head Coach
1994,59,College,Alabama,Head Coach
1995,60,College,Alabama,Head Coach
1996,61,College,Alabama,Head Coach
