,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1921,GNB,HC,21,6,1,9,1,1,6,1,1,1,4,1,1,1,1,12,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1
1,1922,GNB,HC,18,7,1,10,1,1,11,1,1,1,9,1,1,1,1,10,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1
2,1923,GNB,HC,20,3,1,5,1,1,7,1,1,1,7,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
3,1924,GNB,HC,18,6,1,5,1,1,7,1,1,1,14,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
4,1925,GNB,HC,20,9,1,7,1,1,3,1,1,1,8,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1
5,1926,GNB,HC,22,5,1,5,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1
6,1927,GNB,HC,12,2,1,3,1,1,3,1,1,1,3,1,1,1,1,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
7,1928,GNB,HC,10,4,1,5,1,1,5,1,1,1,6,1,1,1,1,7,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
8,1929,GNB,HC,12,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1930,GNB,HC,11,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
10,1931,GNB,HC,10,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
11,1932,GNB,HC,8,2,3,2,6,6,2,3,6,6,5,6,1,6,4,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1
12,1933,GNB,HC,10,6,2,2,2,6,2,2,5,5,2,7,1,5,5,5,2,4,1,6,3,3,1,2,1,1,4,3,6,3,2
13,1934,GNB,HC,11,4,2,4,5,7,3,4,5,10,8,11,1,3,2,2,4,1,4,7,4,8,4,5,3,1,5,4,3,4,3
14,1935,GNB,HC,9,3,7,2,2,2,3,6,7,3,4,2,1,2,1,2,6,2,4,1,6,5,4,4,4,7,6,2,3,3,1
15,1936,GNB,HC,9,1,3,2,2,3,1,2,5,4,3,5,1,1,1,1,2,2,3,4,5,4,3,3,2,8,8,8,3,2,2
16,1937,GNB,HC,10,4,10,2,1,1,1,9,3,2,3,2,1,2,1,2,9,3,6,5,9,4,3,7,2,10,9,8,4,4,6
17,1938,GNB,HC,10,2,5,2,4,1,1,6,5,3,5,4,1,4,2,1,6,1,6,3,6,2,3,5,7,6,9,8,1,6,6
18,1939,GNB,HC,10,2,3,4,3,3,3,2,1,3,3,6,1,3,2,3,2,3,6,4,5,1,3,7,8,9,8,9,3,2,7
19,1940,GNB,HC,10,4,3,3,1,1,2,7,2,2,6,4,1,2,3,1,7,5,3,6,2,4,3,5,2,10,7,8,4,1,4
20,1941,GNB,HC,10,1,1,2,2,2,2,1,2,3,4,3,3,3,2,2,3,3,5,2,1,1,5,6,6,1,7,6,3,3,4
21,1942,GNB,HC,10,3,1,3,3,2,2,3,4,5,3,6,2,1,1,1,5,2,8,8,2,4,7,9,10,3,8,7,4,1,5
22,1943,GNB,HC,10,2,1,2,2,2,2,2,3,3,4,4,4,2,2,3,3,2,4,4,1,3,3,3,4,4,8,4,5,1,3
23,1944,GNB,HC,11,3,2,3,3,2,3,4,4,4,2,2,1,3,4,4,6,7,4,3,4,3,4,4,4,3,7,5,4,3,3
24,1945,GNB,HC,10,5,1,4,6,5,2,6,4,5,3,5,1,5,5,4,9,6,10,4,2,9,6,6,6,1,9,10,2,3,7
25,1946,GNB,HC,10,4,1,7,6,8,8,2,1,1,6,7,1,9,10,9,2,10,4,2,1,2,7,7,8,1,2,2,1,4,3
26,1947,GNB,HC,10,5,1,4,3,4,5,1,1,2,6,3,2,7,7,6,2,8,1,1,1,6,5,5,4,2,3,1,1,1,1
27,1948,GNB,HC,10,8,7,8,7,9,10,9,5,5,7,5,6,8,9,9,8,10,5,7,4,10,7,8,6,9,1,1,2,3,3
28,1949,GNB,HC,10,9,8,9,9,9,10,6,3,4,10,4,5,8,10,10,8,10,7,8,7,9,8,7,7,6,1,4,4,8,7
29,1950,CRD,HC,13,9,7,9,10,8,9,7,12,12,13,9,3,4,6,4,11,11,9,7,6,13,11,10,6,2,1,5,6,9,12
30,1951,CRD,HC,12,10,6,9,6,5,10,10,6,5,5,5,11,5,7,8,5,9,6,9,4,9,8,7,7,4,1,5,8,4,9
31,1952,WAS,HC,12,10,9,9,7,6,9,5,2,6,10,10,6,11,8,5,2,6,7,9,12,8,10,11,11,10,1,1,1,11,7
32,1953,WAS,HC,12,6,8,6,7,8,8,8,6,4,8,5,7,12,11,10,8,7,7,3,4,12,11,8,8,4,4,1,1,5,3
