Year,Age,Level,Employer,Role
1921,23,APFA,Green Bay Packers,Head Coach
1922,24,NFL,Green Bay Packers,Head Coach
1923,25,NFL,Green Bay Packers,Head Coach
1924,26,NFL,Green Bay Packers,Head Coach
1925,27,NFL,Green Bay Packers,Head Coach
1926,28,NFL,Green Bay Packers,Head Coach
1927,29,NFL,Green Bay Packers,Head Coach
1928,30,NFL,Green Bay Packers,Head Coach
1929,31,NFL,Green Bay Packers,Head Coach
1930,32,NFL,Green Bay Packers,Head Coach
1931,33,NFL,Green Bay Packers,Head Coach
1932,34,NFL,Green Bay Packers,Head Coach
1933,35,NFL,Green Bay Packers,Head Coach
1934,36,NFL,Green Bay Packers,Head Coach
1935,37,NFL,Green Bay Packers,Head Coach
1936,38,NFL,Green Bay Packers,Head Coach
1937,39,NFL,Green Bay Packers,Head Coach
1938,40,NFL,Green Bay Packers,Head Coach
1939,41,NFL,Green Bay Packers,Head Coach
1940,42,NFL,Green Bay Packers,Head Coach
1941,43,NFL,Green Bay Packers,Head Coach
1942,44,NFL,Green Bay Packers,Head Coach
1943,45,NFL,Green Bay Packers,Head Coach
1944,46,NFL,Green Bay Packers,Head Coach
1945,47,NFL,Green Bay Packers,Head Coach
1946,48,NFL,Green Bay Packers,Head Coach
1947,49,NFL,Green Bay Packers,Head Coach
1948,50,NFL,Green Bay Packers,Head Coach
1949,51,NFL,Green Bay Packers,Head Coach
1950,52,NFL,Chicago Cardinals,Head Coach
1951,53,NFL,Chicago Cardinals,Head Coach
1952,54,NFL,Washington Redskins,Head Coach
1953,55,NFL,Washington Redskins,Head Coach
