,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2017,KAN,OC,32,8,2,10,12,5,6,1,23,9,15,1,1,17,7,10,2,6,28,15,7,22,25,27,23,11,27,29,15,9,25
1,2018,CHI,HC,32,3,3,4,5,21,9,22,6,11,7,27,21,24,21,14,21,14,3,1,1,2,1,1,4,14,29,7,8,1,1
2,2019,CHI,HC,32,14,15,19,21,29,29,11,20,27,28,29,5,14,25,25,15,32,8,4,22,15,9,26,6,14,21,9,4,25,9
3,2020,CHI,HC,32,14,23,15,20,26,22,20,27,25,27,21,8,8,22,18,26,26,11,14,25,22,15,2,9,15,14,12,16,23,17
