,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2018,40,CHI,NFL,16,12,4,0,.750,6.3,1.5,4.8,1,0,1,.000,1,3,0,
1,2019,41,CHI,NFL,16,8,8,0,.500,-0.9,-5.4,4.5,,,,,3,5,2,
2,2020,42,CHI,NFL,16,8,8,0,.500,0.2,-2.2,2.4,1,0,1,.000,2,2,2,
3,2021,43,CHI,NFL,17,6,11,0,.353,-5.2,-4.9,-0.3,,,,,3,5,2,
