Year,Age,Level,Employer,Role
2008,30,NFL,Philadelphia Eagles,Coaching Intern
2009,31,NFL,Philadelphia Eagles,Coaching Intern
2010,32,NFL,Philadelphia Eagles,Coaches' Assistant
2011,33,NFL,Philadelphia Eagles,Offensive Quality Control
2012,34,NFL,Philadelphia Eagles,Offensive Quality Control
2013,35,NFL,Kansas City Chiefs,Quarterbacks
2014,36,NFL,Kansas City Chiefs,Quarterbacks
2015,37,NFL,Kansas City Chiefs,Quarterbacks
2016,38,NFL,Kansas City Chiefs,Quarterbacks
2017,39,NFL,Kansas City Chiefs,Offensive Coordinator
2018,40,NFL,Chicago Bears,Head Coach
2019,41,NFL,Chicago Bears,Head Coach
2020,42,NFL,Chicago Bears,Head Coach
2021,43,NFL,Chicago Bears,Head Coach
2022,44,NFL,Kansas City Chiefs,Quarterbacks
2023,45,NFL,Kansas City Chiefs,Offensive Coordinator
2024,46,NFL,Kansas City Chiefs,Offensive Coordinator
2025,47,NFL,Kansas City Chiefs,Offensive Coordinator
