Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1983,SFO,DC,28,5,6,2,4,4,4,4,14,8,10,5,15,9,5,9,4,4,10,4,11,6,9,3,21,10,22,15,18,10,7
1984,SFO,DC,28,1,3,1,4,2,2,1,6,3,2,2,4,15,4,2,1,2,10,1,10,3,7,2,21,17,22,17,1,7,11
1985,SFO,DC,28,8,11,2,7,2,5,6,14,10,4,4,20,8,5,4,4,8,14,2,18,5,7,5,8,12,28,21,1,19,4
1986,SFO,DC,28,7,1,3,3,3,7,5,8,10,10,15,1,4,2,13,12,5,6,3,1,2,3,2,15,26,28,17,8,1,2
1987,SFO,DC,28,1,3,1,1,1,1,1,3,1,20,4,4,10,2,1,3,1,1,3,9,6,5,5,10,19,10,1,1,5,2
1988,SFO,DC,28,5,4,6,2,2,7,1,7,2,7,2,4,15,10,10,2,9,3,8,7,5,3,3,4,10,22,8,24,6,3
1989,SFO,HC,28,1,2,1,1,1,1,2,13,10,12,13,10,20,2,1,1,1,4,3,11,1,3,3,8,9,25,11,3,9,5
1990,SFO,HC,28,1,9,3,1,2,8,10,16,18,17,25,10,2,2,3,11,5,3,2,13,2,2,2,3,15,24,12,6,14,4
1991,SFO,HC,28,9,19,2,2,3,3,14,15,11,2,7,24,3,2,4,4,2,6,4,20,6,5,5,9,11,12,11,7,22,9
1992,SFO,HC,28,1,7,1,3,1,1,2,8,3,1,1,11,14,3,2,1,1,15,3,23,2,4,2,16,18,28,26,16,17,13
1993,SFO,HC,28,6,14,1,1,1,1,11,10,3,1,1,12,13,2,1,14,1,15,16,14,5,16,1,28,20,24,16,25,9,3
1994,SFO,HC,28,1,3,1,1,2,1,5,5,6,2,7,15,18,4,1,3,1,8,6,5,2,2,23,8,14,24,17,3,1,6
1995,SFO,HC,30,3,5,1,1,2,1,10,18,23,3,25,9,2,1,4,13,5,1,2,9,1,1,1,1,27,27,11,10,1,3
1996,SFO,HC,30,3,6,3,4,6,3,2,17,10,4,11,3,11,7,8,10,8,7,4,10,7,5,1,6,7,23,11,13,12,6
1999,CAR,HC,31,12,19,12,14,6,4,21,29,20,15,5,28,6,2,2,7,5,26,26,19,22,24,21,25,11,18,23,27,20,22
2000,CAR,HC,31,19,11,18,26,20,21,24,27,29,26,29,25,10,12,17,20,19,27,12,6,14,26,12,28,2,22,26,13,13,26
2001,CAR,HC,31,31,15,31,31,30,29,23,30,29,23,22,16,4,26,30,24,31,31,28,7,31,31,20,23,14,10,28,24,3,29
