Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1989,49,SFO,NFL,16,14,2,0,.875,10.7,5.8,4.9,3,3,0,1.000,1,,,Super Bowl Champions
1990,50,SFO,NFL,16,14,2,0,.875,5.8,1.2,4.6,2,1,1,.500,1,,,
1991,51,SFO,NFL,16,10,6,0,.625,10.9,6.6,4.3,,,,,3,,,
1992,52,SFO,NFL,16,14,2,0,.875,11.8,7.3,4.5,2,1,1,.500,1,,,
1993,53,SFO,NFL,16,10,6,0,.625,9.7,9.9,-0.3,2,1,1,.500,1,,,
1994,54,SFO,NFL,16,13,3,0,.813,11.6,9.9,1.7,3,3,0,1.000,1,,,Super Bowl Champions
1995,55,SFO,NFL,16,11,5,0,.688,11.8,6.5,5.3,1,0,1,.000,1,,,
1996,56,SFO,NFL,16,12,4,0,.750,8.0,3.7,4.3,2,1,1,.500,2,,,
1999,59,CAR,NFL,16,8,8,0,.500,-1.1,3.0,-4.0,,,,,2,1,0,
2000,60,CAR,NFL,16,7,9,0,.438,-1.1,-3.6,2.5,,,,,3,4,0,
2001,61,CAR,NFL,16,1,15,0,.063,-8.9,-4.6,-4.4,,,,,5,3,2,
