Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1961,STL,HC,14,9,5,7,12,13,10,8,12,13,13,12,9,9,14,7,6,12,5,4,5,12,6,2,1,3,10,3,4,7,5
1969,RAM,OC,16,3,1,3,8,12,4,1,14,16,14,15,3,8,10,1,1,10,6,5,6,5,5,5,5,7,12,10,6,2,5
1970,RAM,OC,26,7,8,3,3,6,4,8,18,11,11,10,22,2,6,11,6,14,3,2,11,4,4,2,6,5,14,11,8,14,6
1971,CLE,OC,26,8,18,12,18,18,10,21,15,20,3,24,17,11,9,14,21,11,17,10,8,18,23,15,24,10,6,4,8,8,10
1972,CLE,OC,26,5,11,14,19,19,17,5,19,19,15,18,2,18,21,16,13,17,16,9,17,21,24,13,22,8,3,3,9,21,7
1977,RAM,OC,28,4,4,1,2,5,4,7,2,3,4,7,20,17,13,11,2,13,4,2,7,5,4,3,11,11,19,9,7,6,5
1978,BUF,OC,28,23,19,25,23,20,11,4,17,10,17,6,10,18,20,7,4,16,24,24,28,28,28,27,28,18,1,1,20,27,18
1979,BUF,OC,28,18,7,17,16,21,23,6,27,28,26,27,20,14,9,25,3,7,14,8,10,25,24,15,16,12,1,6,4,8,23
1980,BUF,OC,28,4,11,8,6,18,12,20,2,8,10,25,27,21,23,15,8,18,1,3,5,11,9,13,7,3,2,2,2,11,3
1981,BUF,OC,28,6,16,14,4,8,20,9,13,13,17,15,14,13,9,7,9,5,7,6,17,15,17,1,14,14,6,4,12,16,6
1982,BUF,OC,28,15,23,13,2,11,19,23,4,1,12,3,10,18,20,23,26,17,2,6,17,12,16,7,15,18,7,2,3,10,2
1983,SEA,OC,28,7,2,13,27,19,6,11,7,14,5,20,20,22,21,12,5,14,27,24,2,16,19,12,20,1,21,26,28,7,28
1984,SEA,OC,28,4,1,3,13,18,5,18,12,25,23,28,5,14,10,2,23,6,6,5,1,11,6,8,7,1,18,10,7,1,8
1985,SEA,OC,28,12,10,9,18,18,13,19,16,21,26,26,14,6,12,4,16,21,11,8,5,14,9,10,9,5,10,17,16,6,16
