,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Sat,"January 14, 2023",boxscore,W,,,Los Angeles Chargers,31,30,24,390,273,117,5,18,320,253,67,,,,
1,2022,Division,Sat,"January 21, 2023",boxscore,L,,@,Kansas City Chiefs,20,27,20,349,205,144,2,23,362,218,144,,,,
2,2017,WildCard,Sun,"January 7, 2018",boxscore,W,,,Buffalo Bills,10,3,15,230,75,155,,20,263,133,130,2,,,
3,2017,Division,Sun,"January 14, 2018",boxscore,W,,@,Pittsburgh Steelers,45,42,22,378,214,164,,28,545,462,83,2,,,
4,2017,ConfChamp,Sun,"January 21, 2018",boxscore,L,,@,New England Patriots,20,24,22,374,273,101,,22,344,298,46,1,,,
5,2007,WildCard,Sat,"January 5, 2008",boxscore,W,,@,Pittsburgh Steelers,31,29,14,239,104,135,2,24,340,297,43,4,,,
6,2007,Division,Sat,"January 12, 2008",boxscore,L,,@,New England Patriots,20,31,22,350,270,80,2,24,403,258,145,,,,
7,2005,WildCard,Sat,"January 7, 2006",boxscore,L,,@,New England Patriots,3,28,15,292,205,87,2,17,307,189,118,,,,
8,1999,Division,Sat,"January 15, 2000",boxscore,W,,,Miami Dolphins,62,7,21,520,263,257,2,10,131,110,21,7,,,
9,1999,ConfChamp,Sun,"January 23, 2000",boxscore,L,,,Tennessee Titans,14,33,20,355,211,144,6,18,289,112,177,4,,,
10,1998,WildCard,Sun,"January 3, 1999",boxscore,W,,,New England Patriots,25,10,17,308,148,160,,14,206,171,35,3,,,
11,1998,Division,Sun,"January 10, 1999",boxscore,L,,@,New York Jets,24,34,14,251,156,95,4,29,429,278,151,3,,,
12,1997,WildCard,Sat,"December 27, 1997",boxscore,L,,@,Denver Broncos,17,42,14,237,187,50,2,28,511,201,310,2,,,
13,1996,WildCard,Sat,"December 28, 1996",boxscore,W,,@,Buffalo Bills,30,27,18,409,225,184,2,19,308,216,92,3,,,
14,1996,Division,Sat,"January 4, 1997",boxscore,W,,@,Denver Broncos,30,27,22,443,240,203,,21,351,225,126,,,,
15,1996,ConfChamp,Sun,"January 12, 1997",boxscore,L,,@,New England Patriots,6,20,18,289,188,101,4,13,234,161,73,2,,,
