,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1937,54,RAM,NFL,11,1,10,0,.091,-8.5,-5.0,-3.5,,,,,5,
1,1938,55,RAM,NFL,3,0,3,0,.000,-5.2,0.2,-5.3,,,,,4,
