,Year,Age,Level,Employer,Role
0,1948,24,High School,East Jordan HS (MI),Head Coach
1,1949,25,High School,East Jordan HS (MI),Head Coach
2,1950,26,College,Michigan State,Assistant Coach
3,1951,27,College,Michigan State,Assistant Coach
4,1952,28,College,Michigan State,Assistant Coach
5,1953,29,College,Michigan State,Assistant Coach
6,1954,30,College,Michigan State,Assistant Coach
7,1955,31,College,Arizona State,Head Coach
8,1956,32,College,Arizona State,Head Coach
9,1957,33,College,Arizona State,Head Coach
10,1958,34,College,Missouri,Head Coach
11,1959,35,College,Missouri,Head Coach
12,1960,36,College,Missouri,Head Coach
13,1961,37,College,Missouri,Head Coach
14,1962,38,College,Missouri,Head Coach
15,1963,39,College,Missouri,Head Coach
16,1964,40,College,Missouri,Head Coach
17,1965,41,College,Missouri,Head Coach
18,1966,42,College,Missouri,Head Coach
19,1967,43,College,Missouri,Head Coach
20,1968,44,College,Missouri,Head Coach
21,1969,45,College,Missouri,Head Coach
22,1970,46,College,Missouri,Head Coach
23,1971,47,NFL,Green Bay Packers,Head Coach
24,1972,48,NFL,Green Bay Packers,Head Coach
25,1973,49,NFL,Green Bay Packers,Head Coach
26,1974,50,NFL,Green Bay Packers,Head Coach
27,1975,51,College,Notre Dame,Head Coach
28,1976,52,College,Notre Dame,Head Coach
29,1977,53,College,Notre Dame,Head Coach
30,1978,54,College,Notre Dame,Head Coach
31,1979,55,College,Notre Dame,Head Coach
32,1980,56,College,Notre Dame,Head Coach
