,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1999,46,San Diego Chargers,NFL,16,8,8,0,.500,-1.0,-3.9,2.9,,,,,3,5,1,
1,2000,47,San Diego Chargers,NFL,16,1,15,0,.063,-8.1,-3.7,-4.4,,,,,5,10,2,
2,2001,48,San Diego Chargers,NFL,16,5,11,0,.313,-0.3,0.3,-0.6,,,,,5,5,2,
