Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1967,MIN,HC,16,14,9,13,12,14,14,8,7,9,14,6,6,13,14,15,9,14,6,7,8,15,15,6,11,1,2,3,6,15,5
1968,MIN,HC,16,6,5,6,9,14,8,4,2,6,4,11,7,16,15,14,4,10,5,6,7,8,11,3,13,2,1,3,5,12,7
1969,MIN,HC,16,1,3,1,2,10,1,4,2,4,5,13,5,13,12,2,6,8,1,1,2,2,2,2,1,7,10,1,1,1,1
1970,MIN,HC,26,1,4,1,1,19,3,11,3,14,3,24,19,19,14,19,7,8,1,1,1,5,5,1,5,5,10,1,1,2,1
1971,MIN,HC,26,1,4,4,14,23,18,7,11,17,9,22,4,19,25,25,11,23,2,1,3,11,6,1,8,6,21,3,3,3,1
1972,MIN,HC,26,13,6,10,7,12,12,11,15,20,18,22,22,3,4,7,6,8,5,11,4,13,16,13,20,14,9,1,7,2,5
1973,MIN,HC,26,1,5,5,8,7,9,2,6,6,10,9,16,22,14,9,1,5,12,2,9,4,11,1,23,16,22,12,2,5,7
1974,MIN,HC,26,4,3,4,5,3,5,3,10,15,6,15,2,4,2,2,4,3,10,3,12,5,5,8,9,19,18,18,1,8,15
1975,MIN,HC,26,1,2,2,1,5,3,3,7,10,8,20,5,4,3,3,4,10,1,3,6,1,1,2,14,17,5,1,7,3,1
1976,MIN,HC,28,2,12,5,3,6,9,4,11,18,6,23,18,2,4,9,1,7,6,2,15,8,17,13,21,22,3,1,1,12,2
1977,MIN,HC,28,7,28,14,7,14,16,23,13,21,21,21,27,3,6,4,20,11,11,13,23,20,21,10,21,16,4,3,18,21,4
1978,MIN,HC,28,13,24,13,15,17,12,26,28,28,25,28,10,1,2,3,27,19,14,20,8,11,10,21,12,3,19,19,9,13,15
1979,MIN,HC,28,18,21,22,21,19,24,20,23,23,28,24,13,2,12,7,20,22,18,17,22,24,26,25,22,26,5,11,4,13,17
1980,MIN,HC,28,11,3,14,20,11,15,1,26,27,18,22,1,3,3,13,10,11,26,11,13,17,25,14,27,13,16,24,20,11,22
1981,MIN,HC,28,17,25,18,10,6,13,26,28,28,28,20,22,1,2,4,26,19,17,21,19,20,15,12,9,10,8,18,23,24,23
1982,MIN,HC,28,10,7,16,15,14,13,5,23,22,17,15,2,3,5,6,13,16,19,20,17,9,14,12,19,14,20,19,13,14,13
1983,MIN,HC,28,13,2,20,21,20,18,5,21,20,10,21,2,7,13,23,11,26,19,17,4,26,25,18,26,3,6,6,18,9,5
1985,MIN,HC,28,16,18,16,20,16,14,25,28,27,9,23,14,4,7,11,26,12,16,17,5,23,22,14,14,3,9,15,12,12,20
