Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1972,47,CHI,NFL,14,4,9,1,.321,-1.3,-2.8,1.5,,,,,4,
1973,48,CHI,NFL,14,3,11,0,.214,-8.8,-4.4,-4.5,,,,,4,
1974,49,CHI,NFL,14,4,10,0,.286,-10.3,-7.4,-2.9,,,,,4,
