Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,289,4964,1027,4.8,23,12,301,342,529,2995,18,11,5.2,167,446,1969,11,4.4,101,111,916,33,178,30.9,12.9,Own 29.8,2:48,5.96,27.8,1.58,215,75,34.9%,24,14,58.3%,47,22,46.8%
2023,236,4696,1020,4.6,29,8,261,351,557,3069,16,21,5.1,153,415,1627,9,3.9,93,89,676,15,203,20.2,14.3,Own 26.2,2:21,5.15,23.1,1.10,222,67,30.2%,25,9,36.0%,36,21,58.3%
2022,364,5348,1006,5.3,23,9,288,358,540,3536,19,14,6.1,166,425,1812,12,4.3,98,104,841,24,192,32.8,12.0,Own 30.8,2:35,5.43,27.8,1.63,215,75,34.9%,13,5,38.5%,45,19,42.2%
2021,462,6008,1052,5.7,23,10,362,364,535,3857,24,13,6.9,187,489,2151,24,4.4,139,95,854,36,175,48.0,12.6,Own 31.6,2:59,6.23,34.3,2.54,209,91,43.5%,17,11,64.7%,63,39,61.9%
2020,326,5236,979,5.3,19,5,332,283,440,2890,12,14,6.1,157,502,2346,20,4.7,143,62,534,32,157,36.9,12.1,Own 28.5,2:57,6.41,33.1,1.92,186,76,40.9%,17,9,52.9%,48,26,54.2%
2019,420,5664,1095,5.2,15,6,338,378,620,3961,25,9,6.1,197,447,1703,17,3.8,110,94,828,31,190,36.3,7.4,Own 32.7,2:40,5.94,29.8,1.97,227,87,38.3%,15,6,40.0%,60,30,50.0%
2018,436,6295,1073,5.9,18,7,365,378,574,4258,29,11,7.2,206,478,2037,18,4.3,131,93,744,28,184,40.8,9.2,Own 29.9,2:42,6.05,34.2,2.27,201,82,40.8%,14,7,50.0%,57,34,59.6%
2017,458,6307,1070,5.9,12,4,389,389,587,4418,32,8,7.1,232,448,1889,16,4.2,107,95,835,50,174,49.4,6.9,Own 28.5,2:49,6.38,36.1,2.61,202,82,40.6,13,8,61.5,70,42,60.0
2016,441,6180,1056,5.9,11,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,819,39,182,42.9,4.9,Own 30.9,2:45,6.02,33.9,2.41,227,104,45.8%,12,8,66.7%,60,38,63.3%
2015,465,5991,1050,5.7,14,7,348,404,629,4587,36,7,6.9,230,383,1404,14,3.7,87,96,860,31,192,43.2,5.7,Own 30.1,2:31,5.66,31.2,2.34,215,88,40.9%,15,9,60.0%,61,40,65.6%
2014,468,5848,1073,5.5,13,4,361,392,609,4121,34,9,6.5,228,438,1727,13,3.9,96,120,1080,37,181,45.3,7.2,Own 30.6,2:37,6.13,32.3,2.40,221,98,44.3%,13,7,53.8%,67,39,58.2%
2013,444,6152,1138,5.4,20,9,378,380,628,4087,25,11,6.1,225,470,2065,19,4.4,110,69,625,43,201,40.8,10.0,Own 30.0,2:25,5.87,30.6,2.10,221,83,37.6%,15,7,46.7%,65,36,55.4%
2012,557,6846,1191,5.7,16,7,444,402,641,4662,34,9,7.0,256,523,2184,25,4.2,151,97,840,37,185,48.1,8.1,Own 28.4,2:40,6.63,37.0,2.74,226,110,48.7%,12,8,66.7%,70,49,70.0%
2011,513,6848,1082,6.3,17,5,399,402,612,5084,39,12,7.9,262,438,1764,18,4.0,107,87,815,30,180,47.2,8.3,Own 29.3,2:33,6.19,37.9,2.68,194,89,45.9%,11,7,63.6%,72,47,65.3%
