Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2021,WildCard,Sat,"January 15, 2022",boxscore,L,,@,Buffalo Bills,17,47,20,305,216,89,2,29,482,308,174,,,,
2019,WildCard,Sat,"January 4, 2020",boxscore,L,,,Tennessee Titans,13,20,18,307,209,98,2,19,272,71,201,1,,,
2018,Division,Sun,"January 13, 2019",boxscore,W,,,Los Angeles Chargers,41,28,30,498,343,155,,22,335,316,19,2,,,
2018,ConfChamp,Sun,"January 20, 2019",boxscore,W,OT,@,Kansas City Chiefs,37,31,36,524,348,176,2,18,290,249,41,,,,
2018,SuperBowl,Sun,"February 3, 2019",boxscore,W,,N,Los Angeles Rams,13,3,22,407,253,154,1,14,260,198,62,1,,,
2017,Division,Sat,"January 13, 2018",boxscore,W,,,Tennessee Titans,35,14,31,438,337,101,,15,267,202,65,,,,
2017,ConfChamp,Sun,"January 21, 2018",boxscore,W,,,Jacksonville Jaguars,24,20,22,344,298,46,1,22,374,273,101,,,,
2017,SuperBowl,Sun,"February 4, 2018",boxscore,L,,N,Philadelphia Eagles,33,41,29,613,500,113,1,25,538,374,164,1,,,
2016,Division,Sat,"January 14, 2017",boxscore,W,,,Houston Texans,34,16,20,377,279,98,3,14,302,197,105,3,,,
2016,ConfChamp,Sun,"January 22, 2017",boxscore,W,,,Pittsburgh Steelers,36,17,26,431,374,57,,22,368,314,54,2,,,
2016,SuperBowl,Sun,"February 5, 2017",boxscore,W,OT,N,Atlanta Falcons,34,28,37,546,442,104,2,17,344,240,104,1,,,
2015,Division,Sat,"January 16, 2016",boxscore,W,,,Kansas City Chiefs,27,20,21,340,302,38,,27,378,243,135,1,,,
2015,ConfChamp,Sun,"January 24, 2016",boxscore,L,,@,Denver Broncos,18,20,20,336,292,44,2,12,244,145,99,1,,,
2014,Division,Sat,"January 10, 2015",boxscore,W,,,Baltimore Ravens,35,31,29,422,408,14,1,28,428,292,136,2,,,
2014,ConfChamp,Sun,"January 18, 2015",boxscore,W,,,Indianapolis Colts,45,7,28,397,220,177,1,17,209,126,83,3,,,
2014,SuperBowl,Sun,"February 1, 2015",boxscore,W,,N,Seattle Seahawks,28,24,25,377,320,57,2,20,396,234,162,1,,,
