,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2017,WildCard,Sat,"January 6, 2018",boxscore,W,,@,Los Angeles Rams,26,13,20,322,198,124,,19,361,246,115,2,,,
1,2017,Division,Sat,"January 13, 2018",boxscore,L,,@,Philadelphia Eagles,10,15,19,281,195,86,,22,334,238,96,2,,,
2,2016,Division,Sat,"January 14, 2017",boxscore,W,,,Seattle Seahawks,36,20,28,422,323,99,,17,309,208,101,2,,,
3,2016,ConfChamp,Sun,"January 22, 2017",boxscore,W,,,Green Bay Packers,44,21,30,493,392,101,,24,367,268,99,2,,,
4,2016,SuperBowl,Sun,"February 5, 2017",boxscore,L,OT,N,New England Patriots,28,34,17,344,240,104,1,37,546,442,104,2,,,
5,2012,Division,Sun,"January 13, 2013",boxscore,W,,,Seattle Seahawks,30,28,24,417,250,167,2,28,491,368,123,2,,,
6,2012,ConfChamp,Sun,"January 20, 2013",boxscore,L,,,San Francisco 49ers,24,28,27,477,396,81,2,21,373,224,149,1,,,
7,2011,WildCard,Sun,"January 8, 2012",boxscore,L,,@,New York Giants,2,24,14,247,183,64,,19,442,270,172,,,,
8,2010,Division,Sat,"January 15, 2011",boxscore,L,,,Green Bay Packers,21,48,15,194,149,45,4,28,442,346,96,1,,,
9,2008,WildCard,Sat,"January 3, 2009",boxscore,L,,@,Arizona Cardinals,24,30,20,250,190,60,3,15,357,271,86,1,,,
10,2004,Division,Sat,"January 15, 2005",boxscore,W,,,St. Louis Rams,47,17,18,397,70,327,1,19,339,262,77,2,,,
11,2004,ConfChamp,Sun,"January 23, 2005",boxscore,L,,@,Philadelphia Eagles,10,27,14,202,103,99,1,22,326,170,156,,,,
12,2002,WildCard,Sat,"January 4, 2003",boxscore,W,,@,Green Bay Packers,27,7,21,309,117,192,,17,289,233,56,5,,,
13,2002,Division,Sat,"January 11, 2003",boxscore,L,,@,Philadelphia Eagles,6,20,19,354,261,93,2,15,318,227,91,,,,
14,1998,Division,Sat,"January 9, 1999",boxscore,W,,,San Francisco 49ers,20,18,16,289,153,136,1,15,334,288,46,3,,,
15,1998,ConfChamp,Sun,"January 17, 1999",boxscore,W,OT,@,Minnesota Vikings,30,27,25,427,317,110,2,26,356,254,102,2,,,
16,1998,SuperBowl,Sun,"January 31, 1999",boxscore,L,,N,Denver Broncos,19,34,21,337,206,131,4,22,457,336,121,1,,,
17,1995,WildCard,Sun,"December 31, 1995",boxscore,L,,@,Green Bay Packers,20,37,18,360,339,21,2,23,307,190,117,,,,
18,1991,WildCard,Sat,"December 28, 1991",boxscore,W,,@,New Orleans Saints,27,20,20,334,255,79,2,23,330,265,65,3,,,
19,1991,Division,Sat,"January 4, 1992",boxscore,L,,@,Washington Redskins,7,24,12,193,150,43,6,22,332,170,162,1,,,
20,1982,WildCard,Sun,"January 9, 1983",boxscore,L,,@,Minnesota Vikings,24,30,24,235,115,120,2,30,378,253,125,1,,,
21,1980,Division,Sun,"January 4, 1981",boxscore,L,,,Dallas Cowboys,27,30,18,371,285,86,2,22,422,310,112,2,,,
22,1978,WildCard,Sun,"December 24, 1978",boxscore,W,,,Philadelphia Eagles,14,13,14,298,223,75,5,15,217,164,53,2,,,
23,1978,Division,Sat,"December 30, 1978",boxscore,L,,@,Dallas Cowboys,20,27,16,216,52,164,3,26,369,221,148,4,,,
