Year,Age,Level,Employer,Role
1990,23,College,Miami (OH),Graduate Assistant
1991,24,College,Miami (OH),Graduate Assistant
1992,25,College,Miami (OH),Tight Ends/H-Backs
1993,26,College,Miami (OH),Tight Ends/H-Backs
1994,27,College,Miami (OH),Tight Ends/H-Backs
1995,28,College,Miami (OH),Tight Ends/H-Backs
1996,29,College,Miami (OH),Tight Ends/H-Backs
1997,30,College,Miami (OH),Tight Ends/H-Backs
1998,31,College,Miami (OH),Offensive Line
1999,32,College,Northwestern,Offensive Line
2000,33,College,Northwestern,Offensive Line
2001,34,NFL,Oakland Raiders,Asst. OL
2002,35,NFL,Oakland Raiders,Offensive Line
2003,36,NFL,Oakland Raiders,Offensive Line
2004,37,NFL,Oakland Raiders,Offensive Line
2005,38,NFL,Tampa Bay Buccaneers,Senior Assistant
2006,39,NFL,Tampa Bay Buccaneers,Sr. Asst./OL
2007,40,NFL,Tampa Bay Buccaneers,Sr. Asst./OL
2008,41,NFL,New Orleans Saints,Running Backs
2009,42,NFL,New Orleans Saints,OL/RB
2010,43,NFL,New Orleans Saints,OL/RB
2011,44,NFL,New Orleans Saints,OL/RB
2012,45,NFL,New Orleans Saints,Interim Head Coach/OL/RB
2013,46,NFL,Chicago Bears,Offensive Coordinator
2014,47,NFL,Chicago Bears,Offensive Coordinator
2015,48,NFL,Buffalo Bills,Offensive Line
2016,49,NFL,Buffalo Bills,Offensive Line
2017,50,NFL,Los Angeles Rams,Offensive Line
2018,51,NFL,Los Angeles Rams,Offensive Line
2019,52,NFL,Los Angeles Rams,Offensive Line/RGC
2020,53,NFL,Los Angeles Rams,Offensive Line/RGC
2022,55,NFL,Buffalo Bills,Offensive Line
2023,56,NFL,Buffalo Bills,Offensive Line
2024,57,NFL,Buffalo Bills,Offensive Line
2025,58,NFL,Buffalo Bills,Offensive Line
