Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
buf,313,3749.0,882.0,4.3,38.0,14,206.0,208,461,2461,13,24,5.0,119.0,392,1288,16,3.3,69.0,78,685,18.0,,,,,,,,,,,,,,,,,
chi,409,4897.0,870.0,5.6,28.0,16,257.0,201,361,2766,22,12,7.1,110.0,479,2131,27,4.4,132.0,96,826,15.0,,,,,,,,,,,,,,,,,
cle,363,4398.0,836.0,5.3,25.0,9,257.0,160,329,2067,23,16,5.7,97.0,476,2331,19,4.9,133.0,84,976,27.0,,,,,,,,,,,,,,,,,
clt,389,4598.0,887.0,5.2,36.0,19,266.0,222,399,3005,31,17,6.8,144.0,445,1593,13,3.6,94.0,69,616,28.0,,,,,,,,,,,,,,,,,
crd,296,4562.0,909.0,5.0,32.0,7,251.0,221,448,2943,20,25,6.2,143.0,431,1619,10,3.8,90.0,45,458,18.0,,,,,,,,,,,,,,,,,
dal,325,3995.0,833.0,4.8,35.0,17,211.0,168,362,2387,25,18,5.7,108.0,416,1608,8,3.9,87.0,68,710,16.0,,,,,,,,,,,,,,,,,
den,303,4469.0,959.0,4.7,46.0,16,255.0,222,482,2640,18,30,5.2,117.0,453,1829,14,4.0,111.0,69,750,27.0,,,,,,,,,,,,,,,,,
det,257,3303.0,853.0,3.9,41.0,15,204.0,170,374,1834,14,26,4.6,93.0,453,1469,16,3.2,93.0,77,767,18.0,,,,,,,,,,,,,,,,,
gnb,316,3601.0,781.0,4.6,26.0,12,201.0,166,306,2113,19,14,6.1,103.0,432,1488,14,3.4,85.0,48,529,13.0,,,,,,,,,,,,,,,,,
kan,322,4295.0,850.0,5.1,40.0,20,232.0,199,395,2543,22,20,5.9,121.0,418,1752,15,4.2,101.0,70,744,10.0,,,,,,,,,,,,,,,,,
min,383,4824.0,912.0,5.3,37.0,25,277.0,189,372,2546,21,12,6.3,126.0,505,2278,19,4.5,130.0,76,771,21.0,,,,,,,,,,,,,,,,,
nwe,244,3624.0,883.0,4.1,41.0,12,214.0,193,473,2507,19,29,4.9,130.0,373,1117,8,3.0,55.0,58,537,29.0,,,,,,,,,,,,,,,,,
nyg,270,4081.0,796.0,5.1,30.0,14,230.0,171,342,2430,23,16,6.5,112.0,423,1651,12,3.9,91.0,61,618,27.0,,,,,,,,,,,,,,,,,
nyj,285,4065.0,843.0,4.8,40.0,18,213.0,209,459,2589,21,22,5.4,121.0,367,1476,11,4.0,77.0,58,684,15.0,,,,,,,,,,,,,,,,,
oti,298,3988.0,905.0,4.4,46.0,11,227.0,224,550,2813,25,35,4.8,140.0,324,1175,10,3.6,63.0,76,856,24.0,,,,,,,,,,,,,,,,,
phi,363,5012.0,871.0,5.8,36.0,10,267.0,223,434,3188,22,26,6.8,149.0,404,1824,21,4.5,94.0,61,686,24.0,,,,,,,,,,,,,,,,,
pit,202,3354.0,823.0,4.1,57.0,22,194.0,161,354,1976,10,35,4.8,104.0,407,1378,10,3.4,71.0,40,326,19.0,,,,,,,,,,,,,,,,,
rai,298,3998.0,854.0,4.7,26.0,9,225.0,195,431,2460,22,17,5.3,134.0,390,1538,8,3.9,72.0,69,661,19.0,,,,,,,,,,,,,,,,,
ram,269,4179.0,868.0,4.8,41.0,22,251.0,230,445,2715,22,19,5.5,153.0,378,1464,8,3.9,76.0,61,560,22.0,,,,,,,,,,,,,,,,,
sdg,340,5101.0,914.0,5.6,39.0,13,268.0,203,401,3103,23,26,7.3,127.0,486,1998,12,4.1,127.0,84,929,14.0,,,,,,,,,,,,,,,,,
sfo,421,5270.0,901.0,5.8,40.0,19,292.0,272,454,3487,35,21,7.4,172.0,428,1783,13,4.2,97.0,79,785,23.0,,,,,,,,,,,,,,,,,
was,257,3608.0,820.0,4.4,41.0,21,210.0,220,427,2571,20,20,5.5,125.0,354,1037,7,2.9,69.0,81,692,16.0,,,,,,,,,,,,,,,,,
