Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
bba,256.0,3725.0,695.0,5.4,31.0,22.0,139.0,132.0,282.0,2109.0,18.0,9.0,6.8,62.0,385.0,1616.0,13.0,4.2,69.0,54.0,419.0,8.0,,,,,,,,,,,,,,,,,
bcl,341.0,4247.0,777.0,5.5,30.0,17.0,189.0,127.0,256.0,1851.0,18.0,13.0,7.0,60.0,511.0,2396.0,28.0,4.7,121.0,72.0,590.0,8.0,,,,,,,,,,,,,,,,,
chi,218.0,3175.0,748.0,4.2,43.0,16.0,170.0,152.0,320.0,1979.0,20.0,27.0,6.2,95.0,428.0,1196.0,6.0,2.8,56.0,56.0,521.0,19.0,,,,,,,,,,,,,,,,,
cle,171.0,3582.0,770.0,4.7,42.0,13.0,156.0,120.0,304.0,1677.0,9.0,29.0,5.0,67.0,437.0,1905.0,13.0,4.4,75.0,45.0,359.0,14.0,,,,,,,,,,,,,,,,,
cra,268.0,4041.0,689.0,5.9,52.0,37.0,163.0,107.0,197.0,1732.0,9.0,15.0,7.8,61.0,467.0,2309.0,24.0,4.9,92.0,73.0,521.0,10.0,,,,,,,,,,,,,,,,,
crd,301.0,4288.0,829.0,5.2,54.0,21.0,231.0,174.0,383.0,2414.0,18.0,33.0,6.3,107.0,446.0,1874.0,19.0,4.2,113.0,67.0,625.0,11.0,,,,,,,,,,,,,,,,,
det,259.0,3435.0,803.0,4.3,49.0,17.0,204.0,149.0,312.0,1608.0,14.0,32.0,5.2,85.0,491.0,1827.0,15.0,3.7,103.0,73.0,700.0,16.0,,,,,,,,,,,,,,,,,
gnb,329.0,3956.0,793.0,5.0,35.0,15.0,218.0,138.0,292.0,1879.0,15.0,20.0,6.4,89.0,501.0,2077.0,20.0,4.1,110.0,91.0,836.0,19.0,,,,,,,,,,,,,,,,,
lda,322.0,4562.0,799.0,5.7,38.0,17.0,174.0,148.0,290.0,2414.0,22.0,21.0,7.7,69.0,484.0,2148.0,20.0,4.4,89.0,68.0,678.0,16.0,,,,,,,,,,,,,,,,,
naa,206.0,3323.0,706.0,4.7,41.0,17.0,129.0,159.0,316.0,2189.0,13.0,24.0,6.3,68.0,360.0,1134.0,8.0,3.2,55.0,56.0,414.0,6.0,,,,,,,,,,,,,,,,,
nyg,298.0,3911.0,839.0,4.7,40.0,18.0,232.0,193.0,374.0,2247.0,16.0,22.0,6.0,110.0,465.0,1664.0,20.0,3.6,104.0,64.0,559.0,18.0,,,,,,,,,,,,,,,,,
nyy,368.0,4415.0,838.0,5.3,28.0,14.0,238.0,147.0,303.0,2055.0,25.0,14.0,6.8,92.0,535.0,2360.0,20.0,4.4,131.0,90.0,766.0,15.0,,,,,,,,,,,,,,,,,
phi,134.0,2465.0,656.0,3.8,43.0,14.0,148.0,121.0,303.0,1248.0,11.0,29.0,4.1,68.0,353.0,1217.0,5.0,3.4,60.0,62.0,533.0,20.0,,,,,,,,,,,,,,,,,
pit,214.0,3753.0,800.0,4.7,31.0,9.0,210.0,161.0,337.0,1891.0,9.0,22.0,5.6,98.0,463.0,1862.0,17.0,4.0,100.0,97.0,862.0,12.0,,,,,,,,,,,,,,,,,
ram,239.0,3490.0,807.0,4.3,48.0,18.0,213.0,144.0,335.0,1811.0,16.0,30.0,5.4,92.0,472.0,1679.0,14.0,3.6,101.0,72.0,676.0,20.0,,,,,,,,,,,,,,,,,
sfo,227.0,3313.0,751.0,4.4,47.0,15.0,150.0,137.0,318.0,1949.0,15.0,32.0,5.6,68.0,401.0,1364.0,12.0,3.4,74.0,51.0,374.0,8.0,,,,,,,,,,,,,,,,,
was,339.0,4507.0,803.0,5.6,31.0,13.0,233.0,148.0,316.0,2191.0,24.0,18.0,6.9,95.0,487.0,2316.0,23.0,4.8,120.0,74.0,676.0,18.0,,,,,,,,,,,,,,,,,
