,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,370,6022,1028,5.9,24,13,326,325,503,3705,17,11,6.8,177,485,2317,20,4.8,129,107,794,20,185,40.5,13.0,Own 29.9,2:47,5.8,32.6,2.02,213,80,37.6%,19,9,47.4%,63,29,46.0%
1,2023,379,5511,1035,5.3,28,6,307,410,617,4043,31,22,6.2,196,388,1468,8,3.8,88,72,530,23,184,34.2,14.7,Own 29.9,2:35,5.8,29.8,1.88,222,98,44.1%,23,10,43.5%,45,31,68.9%
2,2022,463,6390,1043,6.1,23,9,361,323,481,3716,22,14,7.4,184,542,2674,31,4.9,151,84,647,26,177,41.8,11.9,Own 28.9,2:56,6.1,35.9,2.45,204,100,49.0%,15,6,40.0%,62,40,64.5%
3,2021,407,5384,1009,5.3,16,8,321,314,477,3257,31,8,6.2,170,483,2127,14,4.4,116,93,856,35,178,40.4,8.4,Own 31.0,2:50,5.8,30.2,2.22,211,81,38.4%,24,12,50.0%,54,30,55.6%
4,2020,370,5519,1020,5.4,18,8,331,350,547,3705,28,10,6.4,190,438,1814,11,4.1,104,95,861,37,179,38.0,8.9,Own 29.3,2:41,5.9,30.8,2.01,210,80,38.1%,22,13,59.1%,53,29,54.7%
5,2019,298,5186,1017,5.1,19,9,306,362,571,3554,17,10,5.9,190,414,1632,16,3.9,86,113,923,30,181,30.9,10.5,Own 36.0,2:38,5.8,28.5,1.66,209,76,36.4%,23,13,56.5%,53,29,54.7%
6,2018,283,4795,1004,4.8,36,9,278,377,615,3515,22,27,5.3,186,339,1280,5,3.8,67,114,1022,25,185,28.6,19.5,Own 28.6,2:29,5.6,25.9,1.46,219,75,34.2%,28,16,57.1%,40,20,50.0%
7,2017,320,5106,1003,5.1,22,14,298,343,529,3376,18,8,5.9,180,432,1730,10,4.0,85,118,910,33,178,33.1,11.2,Own 29.4,2:51,5.8,28.7,1.67,219,86,39.3,11,6,54.5,49,24,49.0
8,2016,399,5548,1012,5.5,11,3,322,342,530,3598,22,8,6.3,188,445,1950,18,4.4,99,103,959,35,174,42.0,6.3,Own 29.2,2:56,6.0,31.9,2.18,210,85,40.5%,14,10,71.4%,59,31,52.5%
9,2015,397,5527,981,5.6,17,9,307,322,513,3593,31,8,6.6,182,433,1934,9,4.5,103,98,895,22,175,36.6,8.0,Own 26.4,2:41,5.8,31.4,2.01,201,89,44.3%,12,5,41.7%,45,27,60.0%
10,2014,442,6033,1008,6.0,24,10,325,366,548,4230,34,14,7.2,227,421,1803,12,4.3,78,106,978,20,177,44.6,12.4,Own 32.8,2:43,5.9,34.0,2.38,201,85,42.3%,19,12,63.2%,71,37,52.1%
11,2013,478,6313,1021,6.2,28,9,353,315,507,3730,25,19,6.9,184,483,2583,22,5.3,147,69,647,22,178,42.7,15.2,Own 27.2,2:43,5.9,35.5,2.36,200,83,41.5%,16,12,75.0%,59,34,57.6%
12,2012,277,5050,1021,4.9,44,20,286,350,592,3423,19,24,5.4,186,388,1627,6,4.2,75,78,704,25,195,25.1,20.5,Own 26.2,2:21,5.4,25.9,1.29,220,78,35.5%,16,10,62.5%,41,21,51.2%
13,2011,341,5607,1048,5.4,31,11,291,383,631,4065,22,20,6.1,199,384,1542,10,4.0,75,98,720,17,203,30.5,14.3,Own 30.8,2:22,5.3,27.6,1.55,229,80,34.9%,17,7,41.2%,56,25,44.6%
14,2010,286,5029,1002,5.0,35,14,282,363,582,3588,14,21,5.8,183,386,1441,14,3.7,88,93,790,11,196,25.0,17.9,Own 30.9,2:29,5.3,25.4,1.32,216,75,34.7%,13,6,46.2%,42,20,47.6%
15,2009,375,5404,1033,5.2,28,15,312,341,531,3382,29,13,6.0,186,467,2022,14,4.3,105,88,744,21,193,35.2,13.5,Own 32.1,2:38,5.5,28.0,1.95,226,93,41.2%,13,6,46.2%,56,37,66.1%
16,2008,350,5355,1087,4.9,32,10,314,383,622,3859,21,22,5.9,208,437,1496,16,3.4,93,100,827,13,207,30.4,14.0,Own 30.8,2:30,5.4,25.9,1.63,232,81,34.9%,21,10,47.6%,55,30,54.5%
17,2007,348,5675,1036,5.5,33,17,305,343,541,3708,19,16,6.4,185,454,1967,17,4.3,100,92,670,20,214,28.5,15.0,Own 29.5,2:22,5.0,26.4,1.53,223,73,32.7%,13,8,61.5%,52,27,51.9%
18,2006,255,4706,1023,4.6,44,20,258,328,581,3116,18,24,5.0,159,402,1590,7,4.0,77,132,1084,22,209,20.6,19.6,Own 29.3,2:17,5.0,22.5,1.10,239,74,31.0%,16,10,62.5%,40,19,47.5%
19,2005,202,4509,1034,4.4,34,10,259,313,550,2872,10,24,4.9,153,443,1637,9,3.7,83,118,1016,23,203,19.7,15.3,Own 30.4,2:29,5.2,22.1,0.97,238,76,31.9%,20,6,30.0%,40,13,32.5%
20,2004,331,5390,1046,5.2,29,12,302,287,515,3340,23,17,6.1,165,496,2050,9,4.1,109,120,914,28,216,26.9,13.4,Own 32.5,2:21,5.0,25.0,1.40,220,67,30.5%,15,4,26.7%,54,23,42.6%
21,2003,346,4947,992,5.0,20,5,289,326,525,3082,20,15,5.7,156,449,1865,13,4.2,104,93,746,29,186,34.4,9.7,Own 33.8,2:36,5.5,26.6,1.74,214,84,39.3%,15,6,40.0%,57,28,49.1%
22,2002,379,5606,1086,5.2,28,19,328,335,547,3530,24,9,6.1,185,504,2076,13,4.1,110,115,935,33,202,36.6,13.4,Own 34.4,2:36,5.6,27.6,1.83,230,85,37.0%,15,9,60.0%,61,27,44.3%
23,2001,203,4978,1023,4.9,37,17,277,355,602,3665,12,20,5.6,191,373,1313,6,3.5,71,97,808,15,193,18.7,18.7,Own 29.2,2:27,5.4,25.6,0.93,223,80,35.9%,17,4,23.5%,34,15,44.1%
24,2000,355,5234,1035,5.1,20,9,297,332,530,3407,25,11,6.0,172,469,1827,15,3.9,106,78,727,19,195,29.7,9.7,Own 33.4,2:35,5.5,26.9,1.71,223,82,36.8%,17,12,70.6%,46,29,63.0%
25,1999,341,5704,1058,5.4,33,19,310,354,583,3822,23,14,6.2,196,438,1882,11,4.3,89,89,720,25,200,29.5,14.0,Own 32.1,2:29,5.5,28.5,1.57,229,93,40.6%,11,2,18.2%,49,22,44.9%
26,1998,368,5103,963,5.3,28,14,300,292,456,3228,27,14,6.7,155,479,1875,12,3.9,121,102,852,24,,,,,,,,,,,,,,,,,
27,1997,421,4888,935,5.2,30,17,281,273,476,3030,25,13,5.9,156,421,1858,18,4.4,97,93,763,28,,,,,,,,,,,,,,,,,
28,1996,305,4884,981,5.0,28,11,295,314,524,3267,21,17,5.9,183,427,1617,13,3.8,87,113,849,25,,,,,,,,,,,,,,,,,
29,1995,360,5442,1035,5.3,29,13,316,374,595,4001,27,16,6.4,212,405,1441,9,3.6,81,104,821,23,,,,,,,,,,,,,,,,,
30,1994,307,5009,982,5.1,22,10,275,295,522,3087,16,12,5.6,163,432,1922,10,4.4,100,80,645,12,,,,,,,,,,,,,,,,,
31,1993,230,4653,1026,4.5,30,12,289,306,504,2818,12,18,5.1,163,476,1835,9,3.9,112,91,783,14,,,,,,,,,,,,,,,,,
32,1992,361,4952,953,5.2,30,16,274,261,442,3004,20,14,6.2,144,468,1948,14,4.2,109,90,780,21,,,,,,,,,,,,,,,,,
33,1991,269,4507,942,4.8,30,13,254,286,513,2927,19,17,5.3,164,389,1580,9,4.1,77,94,891,13,,,,,,,,,,,,,,,,,
34,1990,280,4492,927,4.8,45,14,256,258,495,2920,19,31,5.4,147,391,1572,10,4.0,91,84,676,18,,,,,,,,,,,,,,,,,
35,1989,377,5729,1039,5.5,38,12,332,307,554,3832,21,26,6.5,191,446,1897,21,4.3,118,94,802,23,,,,,,,,,,,,,,,,,
36,1988,215,4360,977,4.5,35,9,264,245,545,3034,18,26,5.2,158,389,1326,5,3.4,76,102,804,30,,,,,,,,,,,,,,,,,
37,1987,282,4215,989,4.3,24,11,261,255,507,2802,24,13,4.9,158,412,1413,5,3.4,77,120,1108,26,,,,,,,,,,,,,,,,,
38,1986,187,4130,1002,4.1,47,16,241,243,513,2667,12,31,4.6,151,427,1463,4,3.4,67,111,866,23,,,,,,,,,,,,,,,,,
39,1985,198,4135,945,4.4,54,20,236,249,522,2816,16,34,4.8,141,359,1319,6,3.7,74,118,944,21,,,,,,,,,,,,,,,,,
40,1984,248,3863,885,4.4,34,13,216,198,435,2486,14,21,4.9,122,378,1377,10,3.6,72,86,698,22,,,,,,,,,,,,,,,,,
41,1983,301,5132,1023,5.0,38,17,286,249,490,3132,15,21,5.8,154,482,2000,20,4.1,113,86,687,19,,,,,,,,,,,,,,,,,
42,1982,174,2851,585,4.9,20,7,166,164,294,1949,14,13,6.0,102,261,902,4,3.5,53,52,451,11,,,,,,,,,,,,,,,,,
43,1981,324,5394,1077,5.0,40,22,290,233,525,3248,23,18,5.8,144,521,2146,13,4.1,120,119,961,26,,,,,,,,,,,,,,,,,
44,1980,264,4907,1003,4.9,31,14,285,238,451,2892,20,17,5.8,149,506,2015,10,4.0,111,129,1109,25,,,,,,,,,,,,,,,,,
45,1979,249,4506,1024,4.4,43,14,272,222,458,2528,21,29,5.0,148,519,1978,9,3.8,100,104,864,24,,,,,,,,,,,,,,,,,
46,1978,274,4680,1044,4.5,33,16,282,239,436,2506,16,17,5.3,134,568,2174,15,3.8,128,101,801,20,,,,,,,,,,,,,,,,,
47,1977,253,4285,948,4.5,31,13,241,182,377,2127,7,18,5.3,106,544,2158,14,4.0,124,83,731,11,,,,,,,,,,,,,,,,,
48,1976,216,4201,972,4.3,47,23,250,200,401,2217,15,24,4.9,128,522,1984,10,3.8,104,86,699,18,,,,,,,,,,,,,,,,,
49,1975,379,4576,981,4.7,27,14,282,208,399,2506,22,13,5.8,143,547,2070,25,3.8,118,78,723,21,,,,,,,,,,,,,,,,,
50,1974,279,3818,873,4.4,32,14,231,174,329,2079,12,18,5.9,102,519,1739,17,3.4,104,74,601,25,,,,,,,,,,,,,,,,,
51,1973,334,4183,898,4.7,33,19,247,156,303,1674,17,14,5.0,90,563,2509,19,4.5,138,77,672,19,,,,,,,,,,,,,,,,,
52,1972,275,3923,841,4.7,35,14,224,180,342,2172,16,21,6.0,108,476,1751,11,3.7,96,69,644,20,,,,,,,,,,,,,,,,,
53,1971,276,4520,899,5.0,45,23,234,192,362,2404,12,22,6.2,117,509,2116,14,4.2,99,78,819,18,,,,,,,,,,,,,,,,,
54,1970,261,4067,895,4.5,31,14,234,233,394,2596,18,17,6.0,133,459,1471,11,3.2,83,76,826,18,,,,,,,,,,,,,,,,,
55,1969,339,3881,769,5.0,27,11,208,150,296,1981,23,16,6.0,98,440,1900,17,4.3,89,66,612,21,,,,,,,,,,,,,,,,,
