,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2014,45,Houston Texans,NFL,16,9,7,0,.563,1.7,-0.8,2.5,,,,,2,6,1,
1,2015,46,Houston Texans,NFL,16,9,7,0,.563,-0.8,-3.3,2.6,1,0,1,.000,1,10,6,
2,2016,47,Houston Texans,NFL,16,9,7,0,.563,-2.6,-5.3,2.7,2,1,1,.500,1,4,1,
3,2017,48,Houston Texans,NFL,16,4,12,0,.250,-6.4,-0.8,-5.6,,,,,3,6,4,
4,2018,49,Houston Texans,NFL,16,11,5,0,.688,3.8,2.4,1.4,1,0,1,.000,1,4,2,
5,2019,50,Houston Texans,NFL,16,10,6,0,.625,0.5,1.0,-0.5,2,1,1,.500,1,8,1,
6,2020,51,Houston Texans,NFL,3,0,3,0,.000,-6.6,-4.6,-2.1,,,,,4,0,0,
