,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2011,NWE,OC,32,2,3,3,10,2,3,3,17,20,3,24,1,3,2,4,5,2,31,15,3,9,17,19,24,7,29,31,22,2,29
1,2014,HOU,HC,32,13,2,11,19,17,14,11,1,5,14,23,13,30,24,17,13,13,16,7,1,13,10,2,10,2,31,21,22,3,7
2,2015,HOU,HC,32,12,10,12,6,19,21,11,5,15,24,28,7,9,18,15,11,26,3,7,12,8,10,10,17,11,14,3,11,13,3
3,2016,HOU,HC,32,11,26,26,10,29,28,19,6,8,29,19,11,14,29,30,22,30,1,11,26,12,12,17,13,24,3,2,5,21,4
4,2017,HOU,HC,32,29,28,28,24,20,17,28,11,14,25,16,22,23,21,6,26,22,20,32,27,20,13,22,10,29,3,24,29,20,30
5,2018,HOU,HC,32,6,2,9,13,15,11,3,4,8,20,19,8,27,17,17,6,12,12,4,4,9,3,3,1,1,27,28,18,9,18
6,2019,HOU,HC,32,8,15,15,20,13,14,18,12,9,10,8,11,20,15,12,20,13,28,19,15,10,25,9,27,10,25,29,27,17,25
7,2020,HOU,HC,32,29,27,26,27,13,18,9,31,31,30,18,24,23,4,8,2,1,30,27,32,30,32,30,32,25,9,24,23,32,28
