,Year,Age,Level,Employer,Role
0,2019,33,NFL,New England Patriots,Inside Linebackers
1,2020,34,NFL,New England Patriots,Inside Linebackers
2,2021,35,NFL,New England Patriots,Inside Linebackers
3,2022,36,NFL,New England Patriots,Linebackers
4,2023,37,NFL,New England Patriots,Linebackers
5,2024,38,NFL,New England Patriots,Head Coach
