Year,Age,Level,Employer,Role
1932,26,College,Minnesota,Backfield Coach
1933,27,College,Minnesota,Backfield Coach
1934,28,College,Minnesota,Backfield Coach
1935,29,College,Minnesota,Backfield Coach
1936,30,College,Tulane,Head Coach
1937,31,College,Tulane,Head Coach
1938,32,College,Tulane,Head Coach
1939,33,College,Tulane,Head Coach
1940,34,College,Tulane,Head Coach
1941,35,College,Tulane,Head Coach
1942,36,College,Minnesota,Backfield Coach
1943,37,College,Minnesota,Backfield Coach
1944,38,College,Minnesota,Backfield Coach
1945,39,College,Minnesota,Backfield Coach
1946,40,AAFC,Buffalo Bisons,Head Coach
1947,41,AAFC,Buffalo Bills,Head Coach
1948,42,AAFC,Buffalo Bills,Head Coach
1949,43,AAFC,Buffalo Bills,Head Coach
1950,44,College,Michigan State,Backfield Coach
1951,45,College,Michigan State,Backfield Coach
1952,46,College,Pittsburgh,Head Coach
1953,47,College,Pittsburgh,Head Coach
1954,48,College,Pittsburgh,Head Coach
