Year,Age,Level,Employer,Role
1949,28,High School,Central Catholic HS (Pittsburgh PA),Head Coach
1950,29,High School,Central Catholic HS (Pittsburgh PA),Head Coach
1951,30,High School,Central Catholic HS (Pittsburgh PA),Head Coach
1952,31,High School,Central Catholic HS (Pittsburgh PA),Head Coach
1953,32,College,Rensselaer Polytechnic Institute,Head Coach
1954,33,NFL,Pittsburgh Steelers,Line Coach
1955,34,NFL,Pittsburgh Steelers,Line Coach
1956,35,NFL,Pittsburgh Steelers,Line Coach
1957,36,NFL,Pittsburgh Steelers,Line Coach
1958,37,NFL,Green Bay Packers,Line Coach
1959,38,NFL,Philadelphia Eagles,Line Coach
1960,39,NFL,Philadelphia Eagles,Line Coach
1961,40,NFL,Philadelphia Eagles,Head Coach
1962,41,NFL,Philadelphia Eagles,Head Coach
1963,42,NFL,Philadelphia Eagles,Head Coach
1964,43,NFL,Cleveland Browns,Defensive Line
1965,44,NFL,Cleveland Browns,Defensive Line
1966,45,NFL,Cleveland Browns,Defensive Line
1967,46,NFL,Cleveland Browns,Defensive Line
1968,47,NFL,Cleveland Browns,Offensive Coordinator
1969,48,NFL,Cleveland Browns,Offensive Coordinator
1970,49,NFL,Cleveland Browns,Offensive Coordinator
1971,50,NFL,Cleveland Browns,Head Coach
1972,51,NFL,Cleveland Browns,Head Coach
1973,52,NFL,Cleveland Browns,Head Coach
1974,53,NFL,Cleveland Browns,Head Coach
