,Year,Age,Level,Employer,Role
0,1992,22,College (FBS),Toledo,Student Assistant
1,1993,23,College (FBS),Toledo,Graduate Assistant
2,1994,24,College (FBS),Toledo,Outside Linebackers
3,1995,25,College (FBS),Toledo,Outside Linebackers
4,1996,26,College (FBS),Toledo,Outside Linebackers
5,1997,27,College (FBS),Toledo,Outside Linebackers
6,1998,28,College (FBS),Toledo,Outside Linebackers
7,1999,29,College (FBS),Toledo,Defensive Backs
8,2000,30,College (FBS),Toledo,Defensive Backs
9,2001,31,College (FBS),Missouri,Defensive Coordinator
10,2002,32,College (FBS),Missouri,Defensive Coordinator
11,2003,33,College (FBS),Missouri,Defensive Coordinator
12,2004,34,College (FBS),Missouri,Defensive Coordinator
13,2005,35,College (FBS),Missouri,Defensive Coordinator
14,2006,36,College (FBS),Missouri,Defensive Coordinator
15,2007,37,College (FBS),Missouri,Defensive Coordinator
16,2008,38,College (FBS),Missouri,Defensive Coordinator
17,2009,39,NFL,Cleveland Browns,Linebackers
18,2010,40,NFL,Cleveland Browns,Linebackers
19,2011,41,NFL,Dallas Cowboys,Linebackers
20,2012,42,NFL,Dallas Cowboys,Linebackers
21,2013,43,NFL,Dallas Cowboys,Linebackers
22,2014,44,NFL,Dallas Cowboys,Linebackers
23,2015,45,NFL,Dallas Cowboys,Linebackers
24,2016,46,NFL,Dallas Cowboys,Linebackers
25,2017,47,NFL,Dallas Cowboys,Linebackers
26,2018,48,NFL,Indianapolis Colts,Defensive Coordinator
27,2019,49,NFL,Indianapolis Colts,Defensive Coordinator
28,2020,50,NFL,Indianapolis Colts,Defensive Coordinator
29,2021,51,NFL,Indianapolis Colts,Defensive Coordinator
30,2022,52,NFL,Chicago Bears,Head Coach
31,2023,53,NFL,Chicago Bears,Head Coach
32,2024,54,NFL,Chicago Bears,Head Coach
33,2025,55,NFL,Dallas Cowboys,Defensive Coordinator
