Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2008,HOU,OC,32,17,29,21,8,3,17,30,16,13,11,13,20,7,4,13,29,5,22,27,20,17,23,24,24,16,5,17,26,21,25
2009,HOU,OC,32,11,19,11,7,4,10,16,20,30,18,31,17,4,1,5,17,3,13,17,16,5,10,24,17,6,23,18,10,20,18
2010,WAS,OC,32,20,19,27,26,18,25,21,31,30,24,16,21,4,8,22,20,18,31,21,15,20,26,24,26,7,25,31,13,19,29
2011,WAS,OC,32,26,30,24,16,16,26,30,25,25,26,22,22,5,14,23,29,16,13,21,23,18,18,23,18,24,10,12,13,22,22
2012,WAS,OC,32,9,3,12,13,5,4,1,3,1,2,2,5,30,20,13,1,2,28,22,5,1,5,12,17,18,32,30,29,3,24
2013,WAS,OC,32,31,25,30,11,9,23,30,13,5,13,3,29,9,16,24,20,23,18,30,16,19,17,32,14,15,4,20,21,15,30
2014,CLE,OC,32,20,9,25,26,23,27,13,6,17,4,28,6,26,20,32,19,16,23,9,4,31,32,19,28,21,26,8,6,2,5
2015,ATL,OC,32,14,27,15,10,7,21,26,16,19,12,25,28,8,6,23,24,10,16,14,16,15,14,31,15,22,15,18,3,10,22
2016,ATL,OC,32,5,4,2,4,2,1,1,12,5,3,5,2,26,3,2,4,1,25,27,16,5,17,18,26,9,32,28,28,18,12
2017,SFO,HC,32,22,20,19,16,12,20,19,22,21,7,17,14,2,9,28,23,16,24,25,20,32,22,18,7,11,13,22,24,24,24
2018,SFO,HC,32,29,32,27,16,16,21,30,11,13,30,12,29,20,15,17,30,11,13,28,32,25,14,15,7,28,14,11,31,32,14
2019,SFO,HC,32,2,10,3,3,4,2,19,2,2,1,9,19,29,13,10,18,3,2,8,6,9,17,7,23,4,6,1,13,17,1
2020,SFO,HC,32,21,30,17,5,15,21,31,14,15,10,16,31,16,12,19,30,13,5,17,21,17,7,4,6,15,8,4,13,14,7
2021,SFO,HC,32,9,22,12,3,7,13,20,5,7,5,16,23,29,12,14,14,1,3,9,19,14,7,21,7,6,7,6,12,26,10
2022,SFO,HC,32,4,1,2,4,5,6,3,9,8,5,10,7,26,13,4,3,3,1,1,2,1,2,8,2,11,21,20,5,1,11
2023,SFO,HC,32,2,5,3,1,2,3,6,8,3,1,4,4,32,4,2,13,1,8,3,5,1,3,4,14,28,30,14,8,1,5
2024,SFO,HC,32,22,27,20,4,4,13,27,14,12,11,7,24,22,4,13,25,4,8,29,20,18,18,30,17,23,7,5,15,19,8
