Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1997,TEN,DC,30,15,9,13,20,18,14,15,2,3,7,4,16,29,29,25,13,19,22,12,6,6,4,12,9,1,21,27,15,18,28
1998,TEN,DC,30,13,15,13,13,9,13,2,11,9,12,6,9,16,15,23,2,13,16,12,28,10,9,8,13,23,14,20,21,26,25
1999,TEN,DC,31,2,2,6,17,13,7,2,12,13,3,17,5,21,13,9,2,7,17,15,4,4,10,7,22,1,18,25,27,17,20
2000,TEN,DC,31,1,16,3,2,14,13,19,1,7,12,24,20,26,16,19,15,7,1,2,14,6,3,2,5,13,5,1,1,13,1
2001,BUF,HC,31,29,29,30,17,13,27,19,26,22,23,12,16,7,12,17,20,17,21,29,30,27,26,29,24,28,2,13,20,29,25
2002,BUF,HC,32,17,28,20,13,11,11,19,29,24,9,19,25,3,5,11,12,14,15,27,32,23,29,31,24,25,4,6,22,26,15
2003,BUF,HC,32,20,31,20,17,30,30,27,20,21,16,23,29,22,28,31,15,31,2,5,32,23,8,10,5,27,13,2,9,30,3
2004,WAS,DC,32,21,20,19,14,30,31,14,12,21,31,29,8,18,29,24,17,30,3,5,22,8,2,3,1,28,17,7,4,13,3
2005,WAS,DC,32,11,14,11,9,11,13,16,4,7,12,10,28,22,21,5,5,15,9,9,15,7,13,20,21,15,23,10,2,14,5
2006,WAS,DC,32,27,23,24,23,13,20,2,8,4,14,8,4,24,21,17,5,10,31,27,32,26,27,4,25,30,5,23,32,32,32
2007,WAS,DC,32,12,21,12,9,15,18,14,5,12,7,27,31,20,14,20,4,15,8,11,25,7,4,9,3,18,30,16,11,23,6
2008,JAX,DC,32,25,25,24,22,20,24,13,18,18,10,17,18,11,15,24,12,23,17,21,31,14,13,15,13,32,4,24,27,17,30
2009,NOR,DC,32,2,3,1,9,1,1,16,7,6,3,7,29,15,4,1,6,2,25,20,2,17,21,28,26,6,27,26,5,3,20
2010,NOR,DC,32,5,23,7,4,6,11,21,30,28,24,19,9,2,3,2,30,10,4,7,20,16,16,18,17,3,4,4,1,32,12
2011,NOR,DC,32,2,19,1,2,1,2,4,20,6,7,4,1,2,1,2,12,3,24,13,31,1,12,15,29,26,30,30,16,28,16
2014,STL,DC,32,23,19,21,25,28,21,24,26,20,17,17,19,23,23,22,19,21,17,16,14,17,14,17,15,6,9,19,3,18,22
2015,STL,DC,32,17,14,19,31,32,29,15,14,7,6,6,22,29,32,32,9,30,23,13,10,24,20,3,14,4,22,23,7,17,13
2016,LAR,DC,32,28,28,30,30,32,32,27,28,31,26,31,13,27,31,32,30,32,9,23,23,20,16,13,10,19,19,10,29,23,9
2017,CLE,DC,32,32,32,32,20,24,32,32,28,18,19,6,28,9,22,28,32,30,14,31,32,28,7,22,2,23,8,19,26,31,26
2018,CLE,HC,32,16,8,20,26,13,20,22,15,14,11,11,8,11,14,11,26,13,30,21,2,28,28,31,24,1,30,25,3,5,10
,CLE,DC,32,16,8,20,26,13,20,22,15,14,11,11,8,11,14,11,26,13,30,21,2,28,28,31,24,1,30,25,3,5,10
2019,NYJ,DC,32,17,23,25,27,32,31,23,26,31,31,32,15,22,29,27,23,29,7,16,17,18,2,9,2,14,24,17,17,17,13
2020,NYJ,DC,32,31,17,32,32,32,32,14,22,23,31,24,2,29,31,28,23,31,24,26,22,24,12,14,7,12,28,28,27,23,26
