,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2001,43,BUF,NFL,16,3,13,0,.188,-9.5,-3.9,-5.7,,,,,5,11,3,
1,2002,44,BUF,NFL,16,8,8,0,.500,-0.3,2.1,-2.3,,,,,4,6,3,
2,2003,45,BUF,NFL,16,6,10,0,.375,-1.0,-5.0,4.0,,,,,3,7,1,
3,2018,60,CLE,NFL,8,5,3,0,.625,-0.3,-1.0,0.6,,,,,3,1,1,
