Year,Age,Level,Employer,Role
1960,29,College,Houston,Backfield Coach
1961,30,College,Houston,Backfield Coach
1962,31,College,Houston,Backfield Coach
1963,32,College,Baylor,Backfield Coach
1964,33,College,Baylor,Backfield Coach
1965,34,College,Baylor,Backfield Coach
1966,35,College,Baylor,Backfield Coach
1967,36,College,Baylor,Backfield Coach
1968,37,College,Baylor,Backfield Coach
1969,38,College,Baylor,Backfield Coach
1970,39,College,Navy,Receivers/QBs
1971,40,College,Navy,Receivers/QBs
1972,41,College,Navy,Receivers/QBs
1973,42,NFL,Baltimore Colts,Receivers
1974,43,NFL,Baltimore Colts,Receivers
1975,44,NFL,Baltimore Colts,Receivers
1976,45,NFL,Baltimore Colts,Receivers
1977,46,NFL,Washington Redskins,Receivers
1978,47,NFL,San Francisco 49ers,Head Coach
1979,48,NFL,New York Jets,Receivers
1980,49,NFL,New York Jets,Receivers
1981,50,NFL,New York Jets,Receivers
1982,51,NFL,New York Jets,Quarterbacks
1983,52,NFL,Kansas City Chiefs,Quarterbacks
1984,53,NFL,Kansas City Chiefs,Quarterbacks
1985,54,NFL,Kansas City Chiefs,Quarterbacks
1986,55,NFL,Kansas City Chiefs,Quarterbacks
