Year,Age,Level,Employer,Role
1964,23,High School,Penn HS (Mishawaka IN),Head Coach
1965,24,College,Purdue,Assistant Coach
1966,25,College,Purdue,Assistant Coach
1967,26,College,Purdue,Assistant Coach
1968,27,College,Purdue,Assistant Coach
1969,28,College,Purdue,Assistant Coach
1970,29,College,Purdue,Assistant Coach
1971,30,NFL,Dallas Cowboys,Scout
1972,31,NFL,Dallas Cowboys,Scout
1973,32,College,UNLV,Head Coach
1974,33,College,UNLV,Head Coach
1975,34,College,UNLV,Head Coach
1976,35,College,SMU,Head Coach
1977,36,College,SMU,Head Coach
1978,37,College,SMU,Head Coach
1979,38,College,SMU,Head Coach
1980,39,College,SMU,Head Coach
1981,40,College,SMU,Head Coach
1982,41,NFL,New England Patriots,Head Coach
1983,42,NFL,New England Patriots,Head Coach
1984,43,NFL,New England Patriots,Head Coach
1986,45,NFL,Indianapolis Colts,Head Coach
1987,46,NFL,Indianapolis Colts,Head Coach
1988,47,NFL,Indianapolis Colts,Head Coach
1989,48,NFL,Indianapolis Colts,Head Coach
1990,49,NFL,Indianapolis Colts,Head Coach
1991,50,NFL,Indianapolis Colts,Head Coach
1994,53,CFL,Las Vegas Posse,Head Coach
2001,60,XFL,Chicago Enforcers,Head Coach
