,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1969,SDG,DC,10,4,5,4,5,2,5,5,4,2,2,1,4,2,4,9,5,6,6,4,5,3,3,5,7,10,7,9,7,2,6
1,1970,SDG,DC,26,14,13,14,18,15,14,3,22,22,19,16,1,14,8,3,10,12,21,17,26,23,21,20,20,12,9,12,4,25,13
2,1974,HOU,DC,26,11,9,18,25,24,17,14,23,26,7,25,14,16,20,15,13,18,22,18,8,13,19,12,22,8,20,20,23,11,13
3,1975,HOU,HC,26,7,6,10,16,19,12,8,11,12,13,15,13,22,23,19,7,18,11,5,5,12,3,6,1,6,21,17,7,9,12
4,1976,HOU,HC,28,18,20,18,18,24,22,11,27,27,27,24,8,3,15,9,18,21,10,17,20,19,16,11,9,14,8,8,18,22,12
5,1977,HOU,HC,28,12,3,7,18,18,5,18,15,14,11,11,20,15,17,14,13,18,14,14,1,15,10,10,4,1,24,20,9,3,16
6,1978,HOU,HC,28,6,19,15,16,16,14,12,7,6,5,10,21,24,18,14,4,9,17,16,25,10,9,9,10,14,12,24,14,24,24
7,1979,HOU,HC,28,3,2,10,15,22,8,5,3,4,4,7,3,25,25,18,10,19,13,16,1,11,17,17,21,14,14,14,11,1,9
8,1980,HOU,HC,28,4,21,11,4,4,20,27,6,2,8,1,23,20,17,23,26,10,5,2,12,2,8,1,20,18,7,4,3,6,8
9,1981,NOR,HC,28,26,22,27,23,25,28,23,10,7,13,8,17,24,28,28,23,24,11,24,21,12,11,17,10,14,5,20,23,21,26
10,1982,NOR,HC,28,15,19,21,13,20,26,17,2,6,13,14,14,25,25,23,18,20,5,8,14,7,10,12,13,3,3,8,13,24,16
11,1983,NOR,HC,28,13,20,16,10,23,17,20,4,6,5,13,23,25,26,25,20,25,2,12,13,8,11,5,19,17,14,1,9,12,1
12,1984,NOR,HC,28,17,28,22,15,20,20,22,7,8,26,10,5,23,24,13,25,24,4,19,28,25,26,14,25,27,1,1,16,25,4
13,1985,NOR,HC,28,22,11,23,26,27,21,11,22,19,28,17,6,17,24,15,16,27,24,22,14,18,19,19,20,15,20,23,23,15,21
