,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1975,52,Houston Oilers,NFL,14,10,4,0,.714,6.4,1.2,5.2,,,,,3,
1,1976,53,Houston Oilers,NFL,14,5,9,0,.357,-1.8,-2.7,1.0,,,,,4,
2,1977,54,Houston Oilers,NFL,14,8,6,0,.571,6.6,4.4,2.3,,,,,3,
3,1978,55,Houston Oilers,NFL,16,10,6,0,.625,-0.4,-0.6,0.2,3,2,1,.667,2,
4,1979,56,Houston Oilers,NFL,16,11,5,0,.688,4.4,2.9,1.4,3,2,1,.667,2,
5,1980,57,Houston Oilers,NFL,16,11,5,0,.688,1.6,-2.7,4.4,1,0,1,.000,2,
6,1981,58,New Orleans Saints,NFL,16,4,12,0,.250,-9.5,-7.2,-2.3,,,,,4,
7,1982,59,New Orleans Saints,NFL,9,4,5,0,.444,-3.8,-5.7,1.9,,,,,2,
8,1983,60,New Orleans Saints,NFL,16,8,8,0,.500,0.0,-1.1,1.1,,,,,3,
9,1984,61,New Orleans Saints,NFL,16,7,9,0,.438,-2.9,-1.7,-1.2,,,,,3,
10,1985,62,New Orleans Saints,NFL,12,4,8,0,.333,-6.8,-3.0,-3.9,,,,,3,
