Year,Age,Level,Employer,Role
1952,33,CFL,Hamilton Tiger Cats,Assistant Coach
1953,34,ORFU,Kitchener-Waterloo Dutchmen,Head Coach
1954,35,ORFU,Kitchener-Waterloo Dutchmen,Head Coach
1955,36,ORFU,Kitchener-Waterloo Dutchmen,Head Coach
1956,37,ORFU,Kitchener-Waterloo Dutchmen,Head Coach
1957,38,ORFU,Kitchener-Waterloo Dutchmen,Head Coach
1958,39,CFL,Montreal Alouettes,Assistant Coach
1959,40,CFL,Montreal Alouettes,Assistant Coach
1960,41,AFL,Buffalo Bills,Secondary/Kickers
1961,42,AFL,Buffalo Bills,Secondary/Kickers
1968,49,AFL,Buffalo Bills,Head Coach
1971,52,NFL,Buffalo Bills,Head Coach
