Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1946,31,MIA,AAFC,8,2,6,0,.250,-13.2,-6.9,-6.3,,,,,4,
1947,32,CHR,AAFC,4,1,3,0,.250,-10.1,-1.1,-9.0,,,,,4,
1952,37,RAM,NFL,11,9,2,0,.818,8.7,5.4,3.3,1,0,1,.000,2,
1953,38,RAM,NFL,12,8,3,1,.727,7.5,7.5,0.0,,,,,3,
1954,39,RAM,NFL,12,6,5,1,.545,4.8,6.3,-1.5,,,,,4,
