Year,Age,Level,Employer,Role
1946,31,AAFC,Miami Seahawks,Head Coach
1947,32,AAFC,Chicago Rockets,Head Coach
1948,33,College,San Jose State,Assistant Coach
1949,34,College,San Bernardino Valley Coll.,Assistant Coach
1950,35,NFL,Los Angeles Rams,Backfield Coach
1951,36,NFL,Los Angeles Rams,Backfield Coach
1952,37,NFL,Los Angeles Rams,Head Coach
1953,38,NFL,Los Angeles Rams,Head Coach
1954,39,NFL,Los Angeles Rams,Head Coach
1957,42,CFL,Toronto Argonauts,Head Coach
1958,43,CFL,Toronto Argonauts,Head Coach
1959,44,CFL,Toronto Argonauts,Head Coach
1960,45,NFL,Los Angeles Rams,Offensive Coordinator
1961,46,NFL,Los Angeles Rams,Offensive Coordinator
1962,47,NFL,Los Angeles Rams,Offensive Coordinator
