Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1922,25,RCH,NFL,5,0,4,1,.000,-0.8,-1.2,0.4,,,,,15,
1926,29,NYG,NFL,13,8,4,1,.667,6.5,3.0,3.5,,,,,6,
