,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2002,MIN,OC,32,25,31,24,12,2,8,31,8,1,1,1,27,13,9,20,30,12,26,30,27,6,10,17,17,30,17,29,32,19,32
1,2003,MIN,OC,32,14,5,11,5,1,6,7,7,4,12,6,13,15,4,1,6,4,23,23,7,3,17,32,31,29,25,26,6,2,23
2,2004,MIN,OC,32,14,18,13,11,4,6,5,28,18,29,2,5,8,2,2,7,2,28,26,25,13,21,21,28,19,27,29,27,28,28
3,2005,MIA,OC,32,14,14,17,18,14,16,20,17,12,17,8,21,10,16,11,17,18,18,15,7,22,17,11,7,3,24,20,24,23,6
4,2006,STL,HC,32,13,2,18,11,6,10,3,23,17,14,10,10,3,4,8,1,11,23,28,7,24,31,32,30,5,3,8,16,13,22
5,2007,STL,HC,32,31,27,32,25,24,28,29,24,25,32,25,8,9,19,17,32,27,21,31,19,16,20,27,19,25,9,21,22,10,27
6,2008,STL,HC,32,30,23,31,28,27,30,27,22,25,30,25,20,15,26,30,26,28,28,31,13,28,29,30,29,5,2,19,14,21,31
7,2009,DET,OC,32,31,32,31,29,26,27,32,24,24,22,28,7,6,21,24,32,28,32,32,24,22,25,26,21,4,21,32,32,30,32
8,2010,DET,OC,32,20,11,17,20,17,15,12,24,23,18,20,9,3,12,11,16,26,21,19,11,19,24,27,24,4,10,16,13,19,21
9,2011,DET,OC,32,7,4,8,9,5,4,11,31,29,23,13,8,1,4,3,19,12,23,23,3,10,23,6,30,3,28,22,22,5,8
10,2012,DET,OC,32,28,30,23,2,3,17,27,25,23,6,18,27,1,2,18,22,14,13,27,27,14,16,18,24,25,12,14,19,23,18
11,2013,DET,OC,32,20,28,13,5,6,13,30,14,17,10,22,29,5,3,8,20,8,16,15,21,4,6,8,20,25,19,23,13,17,20
12,2015,DAL,OC,32,29,32,29,20,22,31,31,18,9,21,5,22,23,27,29,31,20,17,16,32,26,22,28,19,30,2,5,3,30,24
13,2016,DAL,OC,32,2,9,3,6,5,5,5,1,2,2,3,13,30,23,14,3,5,14,5,19,1,1,3,11,8,30,26,17,27,14
14,2017,DAL,OC,32,11,16,15,11,14,14,14,5,2,2,3,18,29,26,18,16,18,8,13,16,8,8,3,18,7,22,11,26,24,8
15,2018,DAL,OC,32,8,12,14,15,22,22,5,10,10,16,14,15,21,23,22,5,22,7,6,16,12,5,10,5,7,14,13,8,26,15
